"Nom"	"No de modèle"	"Code de CP"	"Type"	"Devise"	"Nom complet"	"Date de création"	"Valeur totale sous-jacente"	"Solde sous-jacent"	"Dernière m.-à-j."	"Excédent d'encaisse"	"Inactif"
"CH CORPORATIVE B"	"~M-00009-0"	"_FRM"	"Modèle Firme"	"CAD"	"CH Corporative Bond"	"2014/09/03"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CH FOREIGN EQUIT"	"~M-00004-0"	"_FRM"	"Modèle Firme"	"CAD"	"CH Foreign equities"	"2014/09/03"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CH LONG TERM"	"~M-00005-0"	"_FRM"	"Modèle Firme"	"CAD"	"CH Long term"	"2014/09/03"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CH MOYEN TERME"	"~M-00006-0"	"_FRM"	"Modèle Firme"	"CAD"	"CH Moyen terme"	"2014/09/03"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CH REVENUS FIXES"	"~M-00007-0"	"_FRM"	"Modèle Firme"	"CAD"	"CH Revenus Fixes"	"2014/09/03"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CH US EQUITIES"	"~M-00008-0"	"AC42"	"Modèle CP"	"CAD"	"CH US equities"	"2014/09/03"	"0,00"	"0,00"	"2014/09/04"	"Non"	"Non"
"CR1075_MOD1"	"~M-0000G-0"	"AC42"	"Modèle CP"	"CAD"	"CR1075_MOD1"	"2014/12/08"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Oui"
"CR1075_MOD2"	"~M-0000H-0"	"AC42"	"Modèle CP"	"CAD"	"CR1075_MOD2"	"2014/12/08"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Oui"
"CR1075_MOD3"	"~M-0000I-0"	"_FRM"	"Modèle Firme"	"CAD"	"CR1075_MOD3"	"2014/12/08"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Oui"
"CROES984"	"~M-0000U-0"	"AC42"	"Modèle CP"	"CAD"	""	"2015/04/29"	"0,00"	"0,00"	"2015/04/29"	"Non"	"Non"
"GPRF-INST2"	"~M-0000O-0"	"0AED"	"Panier GP1859"	"CAD"	"GPRF-INST2"	"2014/12/08"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"GROWTH"	"~M-0000Q-0"	"_FRM"	"Panier firme"	"CAD"	"PANIER CROISSANCE"	"2014/12/08"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"PANIER OBLIGATIO"	"~M-0000P-0"	"BD88"	"Panier CP"	"CAD"	"PANIER OBLIG CORPOR"	"2014/12/08"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"RECHANGE_PANIER"	"~M-00015-0"	"BD88"	"Modèle CP"	"CAD"	"Rechange_Panier"	"2018/03/16"	"624 993,37"	"1 933,46"	"2018/03/16"	"Non"	"Non"
"SOUS_MODELE"	"~M-00016-0"	"7V8X"	"Modèle CP"	"CAD"	"Sous_Modele"	"2018/03/16"	"719 728,35"	"390,66"	"2018/03/16"	"Oui"	"Non"
"SUBS_PRORATA"	"~M-0000E-0"	"_FRM"	"Modèle Firme"	"CAD"	"SUBS_PRORATA"	"2014/12/08"	"555 311,32"	"19 427,63"	"2014/12/08"	"Non"	"Oui"
"SUBS_PRORATA2"	"~M-0000F-0"	"_FRM"	"Modèle Firme"	"CAD"	"SUBS_PRORATA2"	"2014/12/08"	"0,00"	"0,00"	"2014/12/08"	"Non"	"Non"
"SUBSTITUT_MOD2"	"~M-00014-0"	"_FRM"	"Modèle Firme"	"CAD"	"Substitut_Mod2"	"2018/03/16"	"412 730,11"	"4 128,33"	"2018/03/16"	"Non"	"Non"
"SUSBS_BASIC"	"~M-0000D-0"	"_FRM"	"Modèle Firme"	"CAD"	"SUSBS_BASIC"	"2014/12/08"	"6 668 624,85"	"11 827,99"	"2014/12/08"	"Non"	"Oui"
