"Description"	"Symbole"	"Titre"	"Sous-catégorie"	"Type"	"Acheteur"	"Vendeur"	"Clôture"	"Devise prix"	"Région"	"Non rachetable"	"Montant subséquent"	"Montant initial"	"Intérêt"	"Instrument financier"	"Fréquence"	"Échéance"	"Dividende"	"Date de dividende"	"Bourse"	"RM (%)"	"Rend. éché. - Marché (%)"
"/BCESR14RED CB6.2%28AG07*"	""	"R30102"	"Obligations (autres)"	"2606000"	"101,259"	"101,259"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"6,200"	"Obligation"	"2"	"2007/08/28"	"0,000"	""	""	"6,12"	"0,000000"
"01 COMMUNIQUE LAB INC"	"ONE"	"506391"	"Actions ordinaires"	"330"	"0,235"	"0,245"	"0,235"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSE"	"n/d"	""
"1000-GOLD CERT-CIBC-TR OZ"	""	"995534"	"Fonds d'investissement"	"331"	"279,800"	"279,800"	"279,800"	"USD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"100THS-WINBURY MTG PFD A"	""	"982475"	"Fonds d'investissement"	"331"	"0,829"	"0,829"	"0,829"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"180 CONNECT INC *"	"NCT.U"	"514842"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSE"	"n/d"	""
"20/20 AM TAA DSC"	"TTG780"	"997755"	"Fonds d'investissement"	"3807600"	"17,195"	"17,195"	"17,195"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	"T"	"n/d"	""
"20/20 CDN A/ALLOC *"	""	"997684"	"Fonds de placement en répartition de l'actif"	"3807600"	"10,000"	"10,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"20/20 FGN RSP BD DSC"	"TTG671"	"998159"	"Fonds d'investissement"	"3807750"	"4,730"	"4,730"	"4,730"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"20/20 WORLD BD DSC"	"TTG687"	"997789"	"Fonds d'investissement"	"3807750"	"10,230"	"10,230"	"10,230"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	"XU"	"n/d"	""
"21ST CENTURY TECH INC *"	"TFCT"	"685242"	"Actions ordinaires"	"330"	"0,004"	"0,004"	"0,004"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"XY"	"n/d"	""
"21ST CENTURY TECHS"	"TFCYQ"	"685243"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"360NETWORKS INC"	""	"665971"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"3COM CORP"	"COMS"	"665750"	"Actions ordinaires"	"315"	"7,510"	"7,520"	"7,520"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"3DFX INTERACTIVE"	"TDFXQ"	"665754"	"Actions ordinaires"	"330"	"0,001"	"0,001"	"0,001"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"3EEE INC *"	"TEEZ"	"665977"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,030"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"3M COMPANY"	"MMM"	"666038"	"Actions ordinaires"	"315"	"81,850"	"81,870"	"81,830"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,510"	"2009/11/18"	"NYS"	"2,49"	""
"407 INTL 4% 21FV06"	""	"T49438"	"Obligations (autres)"	"2606000"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,000"	"Obligation"	"2"	"2006/02/21"	"0,000"	""	""	"4,00"	"0,000000"
"407 INTL 6.9% 17DC07"	""	"T49431"	"Obligations (autres)"	"2606000"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"6,900"	"Obligation"	"2"	"2007/12/17"	"0,000"	""	""	"6,90"	"0,000000"
"407 INTL CB 4.9% 4OC10"	""	"T49445"	"Obligations (autres)"	"2606000"	"102,714"	"102,714"	"102,714"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,900"	"Obligation"	"2"	"2010/10/04"	"0,000"	""	""	"4,77"	"0,940171"
"407 ITL S99A8 6.55%18OC06"	""	"T49428"	"Obligations (autres)"	"2606000"	"105,943"	"105,943"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"6,550"	"Obligation"	"2"	"2006/10/18"	"0,000"	""	""	"6,18"	"0,000000"
"527878 B.C. LTD CL-A-RSTD"	""	"262727"	"Actions ordinaires"	"330"	"2,370"	"2,370"	"2,370"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"5BANC SPLIT INC-A (CAP) *"	"FBS.A"	"262737"	"Actions ordinaires"	"3308005"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,360"	"2006/11/30"	"TSE"	"n/d"	""
"5N PLUS INC"	"VNP"	"260983"	"Actions ordinaires"	"330"	"5,420"	"5,450"	"5,420"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSE"	"n/d"	""
"6550568 CANADA INC *"	""	"618249"	"Actions ordinaires"	"330"	"0,010"	"0,010"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"724 SOLUTIONS INC *"	""	"607547"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	"2003/04/24"	""	"n/d"	""
"99 CENTS ONLY STORES"	"NDN"	"486900"	"Actions ordinaires"	"315"	"12,760"	"12,770"	"12,770"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NYS"	"n/d"	""
"AAER INC"	"AAE"	"033772"	"Actions ordinaires"	"330"	"0,085"	"0,090"	"0,085"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSX"	"n/d"	""
"AAT CPG 4% 17DC10CA"	""	"R09866"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,000"	"Obligation"	"1"	"2010/12/17"	"0,000"	""	""	"4,00"	"4,000000"
"AAT CPG 3.65% 11AU10A"	""	"R05336"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"3,650"	"Obligation"	"1"	"2010/08/11"	"0,000"	""	""	"3,65"	"3,650000"
"AAT CPG 4% 6DC10A"	""	"R06919"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,000"	"Obligation"	"1"	"2010/12/06"	"0,000"	""	""	"4,00"	"4,000000"
"AAT CPG 4.3% 4AU11A"	""	"R09077"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,300"	"Obligation"	"1"	"2011/08/04"	"0,000"	""	""	"4,30"	"4,300000"
"AAT CPG 4.3% 8DC11A"	""	"R09782"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,300"	"Obligation"	"1"	"2011/12/08"	"0,000"	""	""	"4,30"	"4,300000"
"AAT CPG 4.3% 15DC11A"	""	"R09831"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,300"	"Obligation"	"1"	"2011/12/15"	"0,000"	""	""	"4,30"	"4,300000"
"AAT CPG 4.3% 21SP11A"	""	"R06482"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,300"	"Obligation"	"1"	"2011/09/21"	"0,000"	""	""	"4,30"	"4,300000"
"AAT CPG 4.3% 23SP11A"	""	"R09312"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,300"	"Obligation"	"1"	"2011/09/23"	"0,000"	""	""	"4,30"	"4,300000"
"AAT CPG 4.3% 30SP11A"	""	"R09383"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,300"	"Obligation"	"1"	"2011/09/30"	"0,000"	""	""	"4,30"	"4,300000"
"AAT CPG 4.4% 2OC12A"	""	"R09423"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,400"	"Obligation"	"1"	"2012/10/02"	"0,000"	""	""	"4,40"	"4,400000"
"AAT CPG 4.5% 1OC13CA"	""	"R09408"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,500"	"Obligation"	"1"	"2013/10/01"	"0,000"	""	""	"4,50"	"4,500000"
"AAT CPG 4.5% 30SP13A"	""	"R09388"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,500"	"Obligation"	"1"	"2013/09/30"	"0,000"	""	""	"4,50"	"4,500000"
"AAT CPG 4.7% 16DC13A"	""	"R09842"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,700"	"Obligation"	"1"	"2013/12/16"	"0,000"	""	""	"4,70"	"4,700000"
"AAT CPG 4.7% 16DC13A"	""	"R09855"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,700"	"Obligation"	"1"	"2013/12/16"	"0,000"	""	""	"4,70"	"4,700000"
"AAT CPG 4.7% 18DC13A"	""	"R09886"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,700"	"Obligation"	"1"	"2013/12/18"	"0,000"	""	""	"4,70"	"4,700000"
"AAT CPG 4.9% 12JL10A"	""	"R07536"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,900"	"Obligation"	"1"	"2010/07/12"	"0,000"	""	""	"4,90"	"4,900000"
"AAT CPG 4.15% 12MI11A"	""	"R08273"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,150"	"Obligation"	"1"	"2011/05/12"	"0,000"	""	""	"4,15"	"4,150000"
"AAT CPG 4.15% 28MI10A"	""	"R08407"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,150"	"Obligation"	"1"	"2010/05/28"	"0,000"	""	""	"4,15"	"4,150000"
"AAT CPG 4.25% 12SP11A"	""	"R09205"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,250"	"Obligation"	"1"	"2011/09/12"	"0,000"	""	""	"4,25"	"4,250000"
"AAT CPG 4.35% 19JL10A"	""	"R08911"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,350"	"Obligation"	"1"	"2010/07/19"	"0,000"	""	""	"4,35"	"4,350000"
"AAT CPG 4.55% 25JL11A"	""	"R08974"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,550"	"Obligation"	"1"	"2011/07/25"	"0,000"	""	""	"4,55"	"4,550000"
"AAT CPG 4.55% 18JL11CA"	""	"R08927"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,550"	"Obligation"	"1"	"2011/07/18"	"0,000"	""	""	"4,55"	"4,550000"
"AAT CPG 4.55% 18JL11CA"	""	"R10296"	"Certificats de dépôt (intérêts composés)"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,550"	"Obligation"	"1"	"2011/07/18"	"0,000"	""	""	"4,55"	"4,550000"
"AAT CPG 4.65% 25JL13A"	""	"R09016"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,650"	"Obligation"	"1"	"2013/07/25"	"0,000"	""	""	"4,65"	"4,650000"
"AAT CPG 4.75% 11JL13A"	""	"R08847"	"Certificats de dépôt"	"2203010"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"4,750"	"Obligation"	"1"	"2013/07/11"	"0,000"	""	""	"4,75"	"4,750000"
"AAT CPG G/R S23/FR/N"	"AAT123"	"926569"	"Fonds de valeurs à revenu fixe"	"3807245"	"100,000"	"100,000"	"100,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"0"	""	"0,000"	""	""	"n/d"	""
"AB ELECTROLUX SPONS ADR"	"ELUXY"	"007377"	"Actions ordinaires"	"3308000"	"0,000"	"0,000"	"48,180"	"USD"	"ZZ"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"2"	""	"1,426"	"2008/04/02"	"NAS"	"5,92"	""
"ABACAN RESOURCE CORP"	"ABACQ"	"000543"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"USD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"NAS"	"n/d"	""
"ABACUS SOFTWARE GROUP INC"	""	"000565"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"ABB LTD ADR"	"ABB"	"000676"	"Actions ordinaires"	"3158000"	"18,480"	"18,490"	"18,470"	"USD"	"ZZ"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"1"	""	"0,445"	"2009/07/22"	"NYS"	"2,41"	""
"ABBOTT LABORATORIES"	"ABT"	"001388"	"Actions ordinaires"	"315"	"54,710"	"54,740"	"54,700"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,400"	"2010/01/13"	"NYS"	"2,93"	""
"ABER DIAMOND CORP *"	"ABZ"	"001708"	"Actions ordinaires"	"315"	"0,000"	"37,313"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,250"	"2007/09/26"	"TSE"	"0,00"	""
"ABERCROMBIE & FITCH CO-A-"	"ANF"	"001541"	"Actions ordinaires"	"315"	"30,410"	"30,430"	"30,450"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,175"	"2009/11/24"	"NYS"	"2,30"	""
"ABERDEEN ASIA-PAC INC FND"	"FAX"	"001742"	"Actions ordinaires"	"3308015"	"6,440"	"6,460"	"6,450"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,035"	"2010/01/27"	"ASE"	"6,51"	""
"ABERDEEN ASIA-PACIFIC INC"	"FAP"	"001761"	"Fonds à capitalisation fermée: Obligations"	"330"	"6,420"	"6,440"	"6,420"	"CAD"	"ZZ"	"Non"	"n/d"	"n/d"	"0,000"	"Fonds d'investissement"	"12"	""	"0,050"	"2009/07/29"	"TSE"	"0,00"	""
"ABERDEEN G7 T/U"	"GSV.UN"	"001812"	"Fiducies de redevances"	"3308001"	"6,500"	"6,890"	"6,500"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,060"	"2008/12/11"	"TSE"	"0,00"	""
"ABERDEEN SCOTS TRUST T/U*"	"SCO.UN"	"001555"	"Fiducies de redevances"	"3308001"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,020"	"2009/05/13"	"TSE"	"n/d"	""
"ABITIBI-CONSOLIDATED INC*"	"A"	"003000"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"4"	""	"0,025"	"2006/05/04"	"TSE"	"n/d"	""
"ABITIBI-PRICE INC *"	""	"002998"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"ABITIBIBOWATER CDA-EXCH"	"AXB"	"082163"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSE"	"n/d"	""
"ABITIBIBOWATER INC"	"ABH"	"002826"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,120"	"USD"	"US"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	"TSE"	"n/d"	""
"ABL CANADA INC *"	""	"000515"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	"2000/10/19"	""	"n/d"	""
"ABN AMRO HLDG NV SP-ADR *"	"ABN"	"000287"	"Actions ordinaires"	"3158000"	"0,000"	"0,000"	"50,250"	"USD"	"ZZ"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"2"	""	"0,791"	"2007/07/26"	"NYS"	"0,00"	""
"ACADIAN TIMBER CORP"	"ADN"	"004372"	"Actions ordinaires"	"330"	"6,350"	"6,450"	"6,300"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,017"	"2010/01/13"	"TSE"	"3,18"	""
"ACADIAN TIMBER INCM PA*"	"ADN.UN"	"004364"	"Fiducies de redevances"	"3308001"	"6,360"	"6,450"	"6,440"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"12"	""	"0,017"	"2009/11/26"	"TSE"	"3,11"	""
"ACASTI PHARMA INC CL-A"	""	"000682"	"Actions ordinaires"	"330"	"0,000"	"0,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Action"	"0"	""	"0,000"	""	""	"n/d"	""
"ACC BANC BCIC 13JN08"	""	"L04373"	"Acceptations bancaires"	"2302100"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2008/06/13"	"0,000"	""	""	"n/d"	"0,000000"
"ACC BANC BNC 2JN08"	""	"L04870"	"Acceptations bancaires"	"2302100"	"100,000"	"100,000"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2008/06/02"	"0,000"	""	""	"n/d"	"0,000000"
"ACC BANC BNC 5JA10"	""	"L05075"	"Acceptations bancaires"	"2302100"	"99,999"	"99,999"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2010/01/05"	"0,000"	""	""	"n/d"	"0,000000"
"ACC BANC BNC 7MI07"	""	"L05386"	"Acceptations bancaires"	"2302100"	"99,965"	"99,965"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2007/05/07"	"0,000"	""	""	"n/d"	"0,000000"
"ACC BANC BNC 9MR10"	""	"L05144"	"Acceptations bancaires"	"2302100"	"0,000"	"99,959"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2010/03/09"	"0,000"	""	""	"n/d"	"0,348166"
"ACC BANC BNC 15DC09"	""	"L05067"	"Acceptations bancaires"	"2302100"	"99,999"	"99,999"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2009/12/15"	"0,000"	""	""	"n/d"	"0,000000"
"ACC BANC BNC 16JA08"	""	"L05435"	"Acceptations bancaires"	"2302100"	"99,988"	"99,988"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2008/01/16"	"0,000"	""	""	"n/d"	"0,000000"
"ACC BANC BNC 17SP08"	""	"L05173"	"Acceptations bancaires"	"2302100"	"99,991"	"99,991"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2008/09/17"	"0,000"	""	""	"n/d"	"0,000000"
"ACC BANC BNC 18SP06"	""	"L05294"	"Acceptations bancaires"	"2302100"	"99,965"	"99,965"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2006/09/18"	"0,000"	""	""	"n/d"	"0,000000"
"ACC BANC BNC 18SP09"	""	"L04973"	"Acceptations bancaires"	"2302100"	"99,999"	"99,999"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2009/09/18"	"0,000"	""	""	"n/d"	"0,000000"
"ACC BANC BNC 22MR10"	""	"L05153"	"Acceptations bancaires"	"2302100"	"99,946"	"99,946"	"99,946"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2010/03/22"	"0,000"	""	""	"n/d"	"0,352154"
"ACC BANC BNC 23JL07"	""	"L05110"	"Acceptations bancaires"	"2302100"	"99,962"	"99,962"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2007/07/23"	"0,000"	""	""	"n/d"	"0,000000"
"ACC BANC BNC 23JN09"	""	"L04836"	"Acceptations bancaires"	"2302100"	"99,999"	"99,999"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2009/06/23"	"0,000"	""	""	"n/d"	"0,000000"
"ACC BANC BNC 23OC06"	""	"L05357"	"Acceptations bancaires"	"2302100"	"99,965"	"99,965"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2006/10/23"	"0,000"	""	""	"n/d"	"0,000000"
"ACC BANC BNC 26MI06"	""	"L03159"	"Acceptations bancaires"	"2302100"	"99,988"	"99,988"	"0,000"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2006/05/26"	"0,000"	""	""	"n/d"	"0,000000"
"ACC BANC BNC 26MR10"	""	"L05162"	"Acceptations bancaires"	"2302100"	"99,956"	"99,956"	"99,956"	"CAD"	"CA"	"Non"	"n/d"	"n/d"	"0,000"	"Obligation"	"0"	"2010/03/26"	"0,000"	""	""	"n/d"	"0,267784"
