"Description"	"Symbol"	"Security"	"Subcategory"	"Type"	"Bid"	"Ask"	"Close"	"Cur. Price"	"MY (%)"	"YTM - Market (%)"	"Exclude from Billing"
"ACADIAN TIMBER CORP"	"ADN"	"004372"	"Common Stock"	"330"	"6.350"	"6.450"	"6.300"	"CAD"	"3.18"	""	"No"
"ACADIAN TIMBER INCM T/*"	"ADN.UN"	"004364"	"Trust Units"	"3308001"	"6.360"	"6.450"	"6.440"	"CAD"	"3.11"	""	"No"
"ACASTI PHARMA INC CL-A"	""	"000682"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"ACCELRATE POWER SYSTEMS *"	"APS"	"004401"	"Common Stock"	"330"	"0.015"	"0.020"	"0.015"	"CAD"	"n/a"	""	"No"
"ACCENTURE LTD-CL-A *"	"ACN"	"004391"	"Common Stock"	"315"	"33.080"	"33.100"	"33.000"	"USD"	"1.52"	""	"No"
"ACCENTURE PLC CL-A"	"ACN"	"004396"	"Common Stock"	"315"	"41.900"	"41.930"	"41.880"	"USD"	"n/a"	""	"No"
"ACCESS ANYTIME BANCORP *"	"AABC"	"004352"	"Common Stock"	"330"	"18.450"	"19.900"	"18.950"	"USD"	"n/a"	""	"No"
"ACCO BRANDS CORP"	"ABD"	"004537"	"Common Stock"	"315"	"8.140"	"8.160"	"8.160"	"USD"	"n/a"	""	"No"
"ACCORD FINANCIAL CORP"	"ACD"	"004421"	"Common Stock"	"330"	"5.500"	"5.690"	"5.500"	"CAD"	"4.73"	""	"No"
"ACCOUNT BALANCE UNKNOWN C"	"1ZZZ"	""	"Cash"	""	"1.000"	"1.000"	"1.000"	"ZZZ"	"n/a"	""	"No"
"ACD SYSTEMS INTL INC"	"ASA"	"000288"	"Common Stock"	"330"	"0.560"	"0.570"	"0.560"	"CAD"	"n/a"	""	"No"
"ACE AVIATION HLDGS-A RV"	"ACE.A"	"004516"	"Common Stock"	"315"	"6.150"	"6.300"	"6.150"	"CAD"	"n/a"	""	"No"
"ACE AVIATION HLDGS-B VTG"	"ACE.B"	"004517"	"Common Stock"	"330"	"6.130"	"6.200"	"6.130"	"CAD"	"n/a"	""	"No"
"ACE LTD-NEW"	"ACE"	"004462"	"Common Stock"	"315"	"48.410"	"48.430"	"48.440"	"USD"	"2.56"	""	"No"
"ACER CAPITAL CORP *"	""	"004882"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"ACETO CORP"	"ACET"	"004440"	"Common Stock"	"330"	"5.440"	"5.450"	"5.450"	"USD"	"3.67"	""	"No"
"ACFA 4.65% 15JN17"	""	"B83773"	"Provincial Bonds"	"2601305"	"107.552"	"107.552"	"107.552"	"CAD"	"4.32"	"3.481269"	"No"
"ACIER LEROUX INC CL-A"	"ACRYF"	"004551"	"Common Stock"	"330"	"6.250"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"ACM INCOME FUND *"	"ACG"	"000380"	"Common Stock"	"3308015"	"8.250"	"8.250"	"0.000"	"USD"	"0.00"	""	"No"
"ACREX VENTURES LTD"	"AKV"	"005100"	"Common Stock"	"330"	"0.065"	"0.070"	"0.070"	"CAD"	"n/a"	""	"No"
"ACT CR PME S1-07/D/N"	"FIA110"	"975816"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACT CR PME S2-07/D/N"	"FIA111"	"975005"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACT CROI PME96 /NL/N"	"FIA096"	"994168"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACT CRS PME S1-06 /N"	"FIA107"	"964142"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACT CRS PME S103/D/N"	"FIA103"	"975547"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACT CRS PME S105/D/N"	"FIA105"	"969517"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACT CRS PME-D /N"	"FIA083"	"994868"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACTEL CORP"	"ACTL"	"005110"	"Common Stock"	"330"	"11.060"	"11.070"	"11.070"	"USD"	"n/a"	""	"No"
"ACTIVE ASSETS & ASSC INC*"	"AAA"	"005136"	"Common Stock"	"330"	"0.020"	"0.040"	"0.020"	"CAD"	"n/a"	""	"No"
"ACTIVE CONTROL TECHNO INC"	"ACT"	"005399"	"Common Stock"	"330"	"0.050"	"0.055"	"0.050"	"CAD"	"n/a"	""	"No"
"ACTIVISION BLIZZARD INC"	"ATVI"	"005254"	"Common Stock"	"315"	"10.120"	"10.130"	"10.120"	"USD"	"n/a"	""	"No"
"ACTN CROI PME S100/N"	"FIA100"	"989553"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACTN CROI PME S101/N"	"FIA101"	"970781"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACTN CROI PME S102/N"	"FIA102"	"978473"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACTN CROIS PME S92/N"	"FIA092"	"995039"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACTN CROIS PME S93/N"	"FIA093"	"994879"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACTN CROIS PME S94/N"	"FIA094"	"995161"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACTN CROIS PME S95/N"	"FIA095"	"994914"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACTN CROIS PME S97/N"	"FIA097"	"994449"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACTN CROIS PME S98/N"	"FIA098"	"991247"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACTN CROIS PME S99/N"	"FIA099"	"982697"	"Canadian Equity Funds"	"3807152"	"13.767"	"13.767"	"13.767"	"CAD"	"3.94"	""	"No"
"ACU AC30 C/E CC /N"	"CEM813"	"980848"	"Miscellaneous"	"3807153"	"7.326"	"7.326"	"7.326"	"CAD"	"n/a"	""	"No"
"ACU AC30 CDN EQ /D/N"	"CEM444"	"985807"	"Miscellaneous"	"3807153"	"19.936"	"19.936"	"19.936"	"CAD"	"10.43"	""	"No"
"ACU CDN EQ /N"	"CEM423"	"987983"	"Canadian Equity Funds"	"3807154"	"20.330"	"20.330"	"20.330"	"CAD"	"1.03"	""	"No"
"ACU FXD INCM /N"	"CEM413"	"985833"	"Balanced Funds"	"3807703"	"11.257"	"11.257"	"11.257"	"CAD"	"3.55"	""	"No"
"ACU FXD INCM PL/NL/N"	"CEM750"	"980545"	"Balanced Funds"	"3807703"	"15.309"	"15.309"	"15.309"	"CAD"	"5.75"	""	"No"
"ACU H/INCM /N"	"CEM633"	"985829"	"Balanced Funds"	"3807155"	"12.363"	"12.363"	"12.363"	"CAD"	"7.77"	""	"No"
"ACU PL H/INCM /NL/N"	"CEM780"	"980548"	"Balanced Funds"	"3807155"	"17.556"	"17.556"	"17.556"	"CAD"	"7.52"	""	"No"
"ACUITY ALL CAP & INCM T/U"	"AAI.UN"	"005353"	"Trust Units"	"3308001"	"9.660"	"9.890"	"9.670"	"CAD"	"0.00"	""	"No"
"ACUITY FOCUSED T/RET T/U"	"AFU.UN"	"005383"	"Trust Units"	"3308001"	"5.950"	"5.990"	"5.960"	"CAD"	"6.04"	""	"No"
"ACUITY GROWTH & INCM T/U"	"AIG.UN"	"005334"	"Trust Units"	"3308001"	"7.550"	"7.700"	"7.550"	"CAD"	"5.56"	""	"No"
"ADALTIS INC"	"ADS"	"005639"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"ADANAC MOLYBDENUM CORP"	"AUA"	"005478"	"Common Stock"	"330"	"0.095"	"0.105"	"0.100"	"CAD"	"n/a"	""	"No"
"ADAPTEC INC"	"ADPT"	"005354"	"Common Stock"	"315"	"3.180"	"3.190"	"3.190"	"USD"	"n/a"	""	"No"
"ADAPTIVE BROADBAND CORP"	"ADAPQ"	"005327"	"Common Stock"	"330"	"0.000"	"0.000"	"0.018"	"USD"	"n/a"	""	"No"
"ADC TELECOMMUNICATION"	"ADCT"	"002286"	"Common Stock"	"315"	"5.900"	"5.910"	"5.910"	"USD"	"n/a"	""	"No"
"ADDAX PETROLEUM CORP *"	"AXC"	"005413"	"Common Stock"	"330"	"52.700"	"52.790"	"52.710"	"CAD"	"0.76"	""	"No"
"ADDENDA CAPITAL INC *"	"ADV"	"005364"	"Common Stock"	"330"	"26.470"	"26.500"	"26.500"	"CAD"	"5.13"	""	"No"
"ADECCO SA UNSPON ADR"	"AHEXY"	"005736"	"Common Stock"	"3308000"	"0.000"	"0.000"	"28.230"	"USD"	"n/a"	""	"No"
"ADF GROUP INC SV"	"DRX"	"005424"	"Common Stock"	"330"	"2.570"	"2.600"	"2.600"	"CAD"	"n/a"	""	"No"
"ADHEREX TECH INC"	"AHX"	"005429"	"Common Stock"	"330"	"0.040"	"0.050"	"0.040"	"CAD"	"n/a"	""	"No"
"ADHEREX TECH INC *"	""	"005423"	"Common Stock"	"330"	"0.300"	"0.330"	"0.312"	"USD"	"n/a"	""	"No"
"ADJUSTABLE RATE MBS T/U *"	"ADJ.UN"	"005401"	"Miscellaneous"	"3308001"	"18.900"	"19.040"	"19.000"	"CAD"	"8.53"	""	"No"
"ADOBE SYS INC"	"ADBE"	"005691"	"Common Stock"	"315"	"34.150"	"34.160"	"34.160"	"USD"	"0.15"	""	"No"
"ADOBE VENTURES INC *"	"ADO.T"	"005687"	"Common Stock"	"330"	"0.150"	"0.200"	"0.000"	"CAD"	"n/a"	""	"No"
"ADOBE VENTURES INC - NEW*"	"AV"	"005688"	"Common Stock"	"330"	"0.690"	"0.750"	"0.690"	"CAD"	"n/a"	""	"No"
"ADTRAN INC"	"ADTN"	"005704"	"Common Stock"	"315"	"21.770"	"21.780"	"21.770"	"USD"	"1.65"	""	"No"
"ADV O&G SR-D CV7.75%1DC11"	"AAV.DB.D"	"R39769"	"Bonds (other)"	"2756000"	"103.000"	"104.000"	"104.000"	"CAD"	"7.45"	"5.440350"	"No"
"ADVAN ENRGY CV 8% 31DC1*"	"AVN.DB.G"	"R41446"	"Convertible Debentures"	"2756000"	"90.000"	"99.000"	"95.000"	"CAD"	"8.42"	"10.934895"	"No"
"ADVANCED GAMING TECH *"	"ADVI"	"006017"	"Common Stock"	"330"	"0.015"	"0.030"	"0.020"	"USD"	"n/a"	""	"No"
"ADVANCED MICRO DEVICES IN"	"AMD"	"005876"	"Common Stock"	"315"	"8.070"	"8.080"	"8.070"	"USD"	"n/a"	""	"No"
"ADVANT CV S-D 7.75% 1DC1*"	"AVN.DB.D"	"R39735"	"Convertible Debentures"	"2756000"	"92.500"	"93.000"	"92.750"	"CAD"	"8.36"	"12.234729"	"No"
"ADVANTAGE LINK INC"	"ADLKF"	"006029"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"ADVANTAGE OIL & GAS LTD"	"AAV"	"006010"	"Common Stock"	"315"	"6.960"	"6.980"	"6.980"	"CAD"	"n/a"	""	"No"
"ADVENTURE ELECTRONICS IN*"	""	"005991"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"ADVITECH INC *"	"AVI"	"000279"	"Common Stock"	"330"	"0.010"	"0.015"	"0.010"	"CAD"	"n/a"	""	"No"
"ADVITECH INC-NEW"	"AVI"	"000332"	"Common Stock"	"330"	"0.065"	"0.070"	"0.065"	"CAD"	"n/a"	""	"No"
"ADVITECH SOLUTIONS INC A"	""	"000263"	"Common Stock"	"330"	"1.000"	"1.000"	"0.000"	"CAD"	"n/a"	""	"No"
"ADWALL CAPITAL CORP *"	""	"006000"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"AECON CV RED 7% 30SP14"	"ARE.DB"	"R00100"	"Convertible Debentures"	"2756000"	"107.000"	"107.990"	"107.000"	"CAD"	"6.54"	"5.091005"	"No"
"AECON GROUP INC"	"ARE"	"006276"	"Common Stock"	"315"	"14.090"	"14.130"	"14.090"	"CAD"	"1.42"	""	"No"
"AEGON N.V. ORD AMER REG"	"AEG"	"006255"	"Common Stock"	"315"	"6.140"	"6.170"	"6.140"	"USD"	"14.73"	""	"No"
"AEON COMPANY LTD ADR"	"AONNY"	"006268"	"Common Stock"	"3308000"	"0.000"	"0.000"	"10.050"	"USD"	"0.00"	""	"No"
"AEROMECHANICAL SVCS LTD"	"AMA"	"006315"	"Common Stock"	"330"	"0.450"	"0.490"	"0.450"	"CAD"	"n/a"	""	"No"
"AES CORP"	"AES"	"000409"	"Common Stock"	"315"	"13.390"	"13.400"	"13.410"	"USD"	"0.00"	""	"No"
"AES TR III 6.75% CV PFD"	"AES.PR.C"	"000768"	"Preferred Shares"	"310"	"46.280"	"46.550"	"46.300"	"USD"	"7.29"	""	"No"
"AETERNA ZENTARIS INC"	"AEZ"	"392480"	"Common Stock"	"330"	"0.980"	"1.000"	"0.990"	"CAD"	"n/a"	""	"No"
"AETNA INC"	"AET"	"006575"	"Common Stock"	"315"	"30.940"	"30.960"	"30.970"	"USD"	"0.13"	""	"No"
"AFFYMETRIX INC"	"AFFX"	"006614"	"Common Stock"	"315"	"5.660"	"5.670"	"5.670"	"USD"	"n/a"	""	"No"
"AFLAC INC"	"AFL"	"006596"	"Common Stock"	"315"	"50.190"	"50.200"	"50.180"	"USD"	"2.23"	""	"No"
"AFTON FOOD GROUP"	"AFF"	"006652"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	""	"No"
"AG GROWTH CV 7% 31DC14"	"AFN.DB"	"R00066"	"Convertible Debentures"	"2756000"	"105.500"	"105.850"	"105.850"	"CAD"	"6.61"	"5.464898"	"No"
"AGCO CORP"	"AGCO"	"006645"	"Common Stock"	"315"	"32.070"	"32.090"	"32.070"	"USD"	"0.00"	""	"No"
"AGERE SYSTEMS INC"	"AGR"	"006841"	"Common Stock"	"315"	"22.500"	"22.620"	"22.620"	"USD"	"n/a"	""	"No"
"AGF ACT CDN A/A-B /D"	"AGF937C"	"981013"	"Asset Allocation Funds"	"3807600"	"29.700"	"29.700"	"29.700"	"CAD"	"n/a"	""	"No"
"AGF ACT CDN FD-B /S"	"AGF943C"	"991070"	"Canadian Equity Funds"	"3807150"	"11.240"	"11.240"	"11.240"	"CAD"	"n/a"	""	"No"
"AGF ACT CROI-B CDN/S"	"AGF934C"	"991063"	"Canadian Equity Funds"	"3807150"	"30.750"	"30.750"	"30.750"	"CAD"	"n/a"	""	"No"
"AGF ACT EURO CL /S"	"AGF812C"	"991087"	"European Equity Funds"	"3807450"	"19.440"	"19.440"	"19.440"	"CAD"	"n/a"	""	"No"
"AGF ACT MDL /N"	"AGF144"	"994214"	"Global Equity Funds"	"3807500"	"15.330"	"15.330"	"15.330"	"CAD"	"n/a"	""	"No"
"AGF ACT MDL -X"	"AGF145C"	"995567"	"Global Equity Funds"	"3807500"	"20.190"	"20.190"	"20.190"	"CAD"	"n/a"	""	"No"
"AGF ACT MDL RER /N"	"AGF307"	"994250"	"Global Equity Funds"	"3807500"	"5.820"	"5.820"	"5.820"	"CAD"	"n/a"	""	"No"
"AGF ACT MDL RER S/N"	"AGF308"	"994249"	"Global Equity Funds"	"3807500"	"5.820"	"5.820"	"5.820"	"CAD"	"n/a"	""	"No"
"AGF AGG GL STK /D/N"	"AGF695"	"998275"	"Global Equity Funds"	"3807500"	"6.720"	"6.720"	"6.720"	"CAD"	"n/a"	""	"No"
"AGF AGG GL STK /LL/N"	"AGF258"	"972962"	"Global Equity Funds"	"3807500"	"6.720"	"6.720"	"6.720"	"CAD"	"n/a"	""	"No"
"AGF AGG US GW /N"	"AGF789"	"998272"	"North American Equity Funds"	"3807350"	"16.740"	"16.740"	"16.740"	"CAD"	"n/a"	""	"No"
"AGF AGG US GW /D/N"	"AGF680"	"998271"	"US Equity Funds"	"3807350"	"16.740"	"16.740"	"16.740"	"CAD"	"n/a"	""	"No"
"AGF AGGR JPN CL /N"	"AGF266"	"988589"	"Asia-Pacific Rim Equity Funds"	"3807410"	"1.750"	"1.750"	"1.750"	"CAD"	"n/a"	""	"No"
"AGF AME GW /N"	"AGF201"	"981230"	"US Equity Funds"	"3807250"	"16.560"	"16.560"	"16.560"	"CAD"	"n/a"	""	"No"
"AGF AME GW /D/N"	"AGF931"	"991077"	"US Equity Funds"	"3807250"	"16.560"	"16.560"	"16.560"	"CAD"	"n/a"	""	"No"
"AGF AMER GWTH /D"	"AGF931C"	"991076"	"US Equity Funds"	"3807250"	"20.050"	"20.050"	"20.050"	"CAD"	"n/a"	""	"No"
