Description	Symbol	Security	Subcategory	Type	Bid	Ask	Close	Cur. Price	yo	Saxo	locomotive	Livre A	coucou	cheval A	CHECKBOX	Subsequent Amount	Region	Non-redeemable	Maturity	Market	Interest	Initial Amount	Frequency	Financial Instrument	Dividend Date	Dividend	MY (%)	YTM - Market (%)	Exclude from Billing
360NETWORKS INC		665971	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
3COM CORP	COMS	665750	Common Stock	315	7.51	7.52	7.52	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
3DFX INTERACTIVE	TDFXQ	665754	Common Stock	330	0.001	0.001	0.001	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
3EEE INC *	TEEZ	665977	Common Stock	330	0	0	0.03	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
3M COMPANY	MMM	666038	Common Stock	315	81.85	81.87	81.83	USD								n/a	US	No		NYS	0	n/a	4	Equity	11/18/2009	0.51	2.49		No
407 INTL CB 4.9% 4OC10		T49445	Bonds (other)	2606000	102.714	102.714	102.714	CAD								n/a	CA	No	10/04/2010		4.9	n/a	2	Bond		0	4.77	0.940171	No
444		9~0005	Bankers Acceptances	MAN	0	0	0	CAD								n/a	DE	No	11/23/2013		0	n/a	0	Bond		0	n/a	n/a	No
527878 B.C. LTD CL-A-RSTD		262727	Common Stock	330	2.37	2.37	2.37	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
5N PLUS INC	VNP	260983	Common Stock	330	5.42	5.45	5.42	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
6550568 CANADA INC *		618249	Common Stock	330	0.01	0.01	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
99 CENTS ONLY STORES	NDN	486900	Common Stock	315	12.76	12.77	12.77	USD								n/a	US	No		NYS	0	n/a	0	Equity		0	n/a		No
AAER INC	AAE	33772	Common Stock	330	0.085	0.09	0.085	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
AAT GIC 4% 17DC10CA		R09866	Term Deposits (Compound Interest)	2203010	100	100	0	CAD								n/a	CA	No	12/17/2010		4	n/a	1	Bond		0	4	4	No
AAT GIC 3.65% 11AG10A		R05336	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	08/11/2010		3.65	n/a	1	Bond		0	3.65	3.65	No
AAT GIC 4% 6DC10A		R06919	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	12/06/2010		4	n/a	1	Bond		0	4	4	No
AAT GIC 4.3% 4AG11A		R09077	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	08/04/2011		4.3	n/a	1	Bond		0	4.3	4.3	No
AAT GIC 4.3% 8DC11A		R09782	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	12/08/2011		4.3	n/a	1	Bond		0	4.3	4.3	No
AAT GIC 4.3% 15DC11A		R09831	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	12/15/2011		4.3	n/a	1	Bond		0	4.3	4.3	No
AAT GIC 4.3% 21SP11A		R06482	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	09/21/2011		4.3	n/a	1	Bond		0	4.3	4.3	No
AAT GIC 4.3% 23SP11A		R09312	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	09/23/2011		4.3	n/a	1	Bond		0	4.3	4.3	No
AAT GIC 4.3% 30SP11A		R09383	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	09/30/2011		4.3	n/a	1	Bond		0	4.3	4.3	No
AAT GIC 4.4% 2OC12A		R09423	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	10/02/2012		4.4	n/a	1	Bond		0	4.4	4.4	No
AAT GIC 4.5% 1OC13CA		R09408	Term Deposits (Compound Interest)	2203010	100	100	0	CAD								n/a	CA	No	10/01/2013		4.5	n/a	1	Bond		0	4.5	4.5	No
AAT GIC 4.5% 30SP13A		R09388	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	09/30/2013		4.5	n/a	1	Bond		0	4.5	4.5	No
AAT GIC 4.7% 16DC13A		R09842	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	12/16/2013		4.7	n/a	1	Bond		0	4.7	4.7	No
AAT GIC 4.7% 16DC13A		R09855	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	12/16/2013		4.7	n/a	1	Bond		0	4.7	4.7	No
AAT GIC 4.7% 18DC13A		R09886	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	12/18/2013		4.7	n/a	1	Bond		0	4.7	4.7	No
AAT GIC 4.9% 12JL10A		R07536	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	07/12/2010		4.9	n/a	1	Bond		0	4.9	4.9	No
AAT GIC 4.15% 12MY11A		R08273	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	05/12/2011		4.15	n/a	1	Bond		0	4.15	4.15	No
AAT GIC 4.15% 28MY10A		R08407	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	05/28/2010		4.15	n/a	1	Bond		0	4.15	4.15	No
AAT GIC 4.25% 12SP11A		R09205	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	09/12/2011		4.25	n/a	1	Bond		0	4.25	4.25	No
AAT GIC 4.35% 19JL10A		R08911	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	07/19/2010		4.35	n/a	1	Bond		0	4.35	4.35	No
AAT GIC 4.55% 25JL11A		R08974	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	07/25/2011		4.55	n/a	1	Bond		0	4.55	4.55	No
AAT GIC 4.55% 18JL11CA		R08927	Term Deposits (Compound Interest)	2203010	100	100	0	CAD								n/a	CA	No	07/18/2011		4.55	n/a	1	Bond		0	4.55	4.55	No
AAT GIC 4.55% 18JL11CA		R10296	Term Deposits (Compound Interest)	2203010	100	100	0	CAD								n/a	CA	No	07/18/2011		4.55	n/a	1	Bond		0	4.55	4.55	No
AAT GIC 4.65% 25JL13A		R09016	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	07/25/2013		4.65	n/a	1	Bond		0	4.65	4.65	No
AAT GIC 4.75% 11JL13A		R08847	Certificates of Deposit	2203010	100	100	0	CAD								n/a	CA	No	07/11/2013		4.75	n/a	1	Bond		0	4.75	4.75	No
AAT R/G GIC S23/LL/N	AAT123	926569	Bond Funds	3807245	100	100	100	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AB ELECTROLUX SPONS ADR	ELUXY	7377	Common Stock	3308000	0	0	48.18	USD								n/a	ZZ	No		NAS	0	n/a	2	Equity	04/02/2008	1.426	5.92		No
AB-EQUI		762800	Canadian Bonds & Income Funds	3807700	0	0	0	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
ABACAN RESOURCE CORP	ABACQ	543	Common Stock	330	0	0	0	USD								n/a	CA	No		NAS	0	n/a	0	Equity		0	n/a		No
ABACUS SOFTWARE GROUP INC		565	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
ABB LTD ADR	ABB	676	Common Stock	3158000	18.48	18.49	18.47	USD								n/a	ZZ	No		NYS	0	n/a	1	Equity	07/22/2009	0.445	2.41		No
ABBOTT LABORATORIES	ABT	1388	Common Stock	315	54.71	54.74	54.7	USD								n/a	US	No		NYS	0	n/a	4	Equity	01/13/2010	0.4	2.93		No
ABER DIAMOND CORP *	ABZ	1708	Common Stock	315	0	37.313	0	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	09/26/2007	0.25	2.84		No
ABERCROMBIE & FITCH CO-A-	ANF	1541	Common Stock	315	30.41	30.43	30.45	USD								n/a	US	No		NYS	0	n/a	4	Equity	11/24/2009	0.175	2.3		No
ABERDEEN ASIA-PAC INC FND	FAX	1742	Common Stock	3308015	6.44	6.46	6.45	USD								n/a	US	No		ASE	0	n/a	12	Equity	01/27/2010	0.035	6.51		No
ABERDEEN ASIA-PACIFIC INC	FAP	1761	Closed-end Funds: Bonds	330	6.42	6.44	6.42	CAD								n/a	ZZ	No		TSE	0	n/a	12	Mutual Fund	07/29/2009	0.05	9.35		No
ABERDEEN G7 T/U	GSV.UN	1812	Trust Units	3308001	6.5	6.89	6.5	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	12/11/2008	0.06	11.08		No
ABITIBIBOWATER CDA-EXCH	AXB	82163	Common Stock	330	0	0	0	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
ABITIBIBOWATER INC	ABH	2826	Common Stock	330	0	0	0.12	USD								n/a	US	No		TSE	0	n/a	0	Equity		0	n/a		No
ABN AMRO HLDG NV SP-ADR *	ABN	287	Common Stock	3158000	0	0	50.25	USD								n/a	ZZ	No		NYS	0	n/a	2	Equity	07/26/2007	0.791	3.15		No
ACADIAN TIMBER CORP	ADN	4372	Common Stock	330	6.35	6.45	6.3	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	01/13/2010	0.017	3.18		No
ACADIAN TIMBER INCM T/*	ADN.UN	4364	Trust Units	3308001	6.36	6.45	6.44	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	11/26/2009	0.017	3.11		No
ACASTI PHARMA INC CL-A		682	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
ACCELRATE POWER SYSTEMS *	APS	4401	Common Stock	330	0.015	0.02	0.015	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
ACCENTURE LTD-CL-A *	ACN	4391	Common Stock	315	33.08	33.1	33	USD								n/a	ZZ	No		NYS	0	n/a	1	Equity	10/08/2008	0.5	1.52		No
ACCENTURE PLC CL-A	ACN	4396	Common Stock	315	41.9	41.93	41.88	USD								n/a	ZZ	No		NYS	0	n/a	0	Equity	10/14/2009	0.75	n/a		No
ACCESS ANYTIME BANCORP *	AABC	4352	Common Stock	330	18.45	19.9	18.95	USD								n/a	US	No		NAS	0	n/a	0	Equity	12/09/2005	0.35	n/a		No
ACCO BRANDS CORP	ABD	4537	Common Stock	315	8.14	8.16	8.16	USD								n/a	US	No		NYS	0	n/a	0	Equity		0	n/a		No
ACCORD FINANCIAL CORP	ACD	4421	Common Stock	330	5.5	5.69	5.5	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	11/10/2009	0.065	4.73		No
ACCOUNT BALANCE UNKNOWN C	1ZZZ		Cash		1	1	1	ZZZ								n/a	CA	No			0	n/a	0	Cash		0	n/a		No
ACD SYSTEMS INTL INC	ASA	288	Common Stock	330	0.56	0.57	0.56	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
ACE AVIATION HLDGS-A RV	ACE.A	4516	Common Stock	315	6.15	6.3	6.15	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
ACE AVIATION HLDGS-B VTG	ACE.B	4517	Common Stock	330	6.13	6.2	6.13	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
ACE LTD-NEW	ACE	4462	Common Stock	315	48.41	48.43	48.44	USD								n/a	ZZ	No		NYS	0	n/a	4	Equity	12/15/2009	0.31	2.56		No
ACER CAPITAL CORP *		4882	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
ACETO CORP	ACET	4440	Common Stock	330	5.44	5.45	5.45	USD								n/a	US	No		NAS	0	n/a	2	Equity	12/22/2009	0.1	3.67		No
ACFA 4.65% 15JN17		B83773	Provincial Bonds	2601305	107.552	107.552	107.552	CAD								n/a	CA	No	06/15/2017		4.65	n/a	2	Bond		0	4.32	3.481269	No
ACIER LEROUX INC CL-A	ACRYF	4551	Common Stock	330	6.25	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
ACM INCOME FUND *	ACG	380	Common Stock	3308015	8.25	8.25	0	USD								n/a	US	No		NYS	0	n/a	12	Equity	01/10/2007	0.05	0		No
ACREX VENTURES LTD	AKV	5100	Common Stock	330	0.065	0.07	0.07	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
ACT CR PME S1-07/D/N	FIA110	975816	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACT CR PME S2-07/D/N	FIA111	975005	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACT CROI PME96 /NL/N	FIA096	994168	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACT CRS PME S1-06 /N	FIA107	964142	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACT CRS PME S103/D/N	FIA103	975547	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACT CRS PME S105/D/N	FIA105	969517	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACT CRS PME-D /N	FIA083	994868	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACTEL CORP	ACTL	5110	Common Stock	330	11.06	11.07	11.07	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
ACTIVE ASSETS & ASSC INC*	AAA	5136	Common Stock	330	0.02	0.04	0.02	CAD								n/a	CA	No		V	0	n/a	0	Equity	05/13/2002	0	n/a		No
ACTIVE CONTROL TECHNO INC	ACT	5399	Common Stock	330	0.05	0.055	0.05	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
ACTIVISION BLIZZARD INC	ATVI	5254	Common Stock	315	10.12	10.13	10.12	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
ACTN CROI PME S100/N	FIA100	989553	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACTN CROI PME S101/N	FIA101	970781	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACTN CROI PME S102/N	FIA102	978473	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACTN CROIS PME S92/N	FIA092	995039	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACTN CROIS PME S93/N	FIA093	994879	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACTN CROIS PME S94/N	FIA094	995161	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACTN CROIS PME S95/N	FIA095	994914	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACTN CROIS PME S97/N	FIA097	994449	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACTN CROIS PME S98/N	FIA098	991247	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACTN CROIS PME S99/N	FIA099	982697	Canadian Equity Funds	3807152	13.767	13.767	13.767	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.543	3.94		No
ACU AC30 C/E CC /N	CEM813	980848	Miscellaneous	3807153	7.326	7.326	7.326	CAD								n/a	CA	No			0	n/a	0	Other		0	n/a		No
ACU AC30 CDN EQ /D/N	CEM444	985807	Miscellaneous	3807153	19.936	19.936	19.936	CAD								n/a	CA	No			0	n/a	4	Other	12/31/2007	0.52	10.43		No
ACU CDN EQ /N	CEM423	987983	Canadian Equity Funds	3807154	20.33	20.33	20.33	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2007	0.21	1.03		No
ACU FXD INCM /N	CEM413	985833	Balanced Funds	3807703	11.257	11.257	11.257	CAD								n/a	CA	No			0	n/a	4	Mutual Fund	12/31/2009	0.1	3.55		No
ACU FXD INCM PL/NL/N	CEM750	980545	Balanced Funds	3807703	15.309	15.309	15.309	CAD								n/a	CA	No			0	n/a	4	Mutual Fund	12/31/2009	0.22	5.75		No
ACU H/INCM /N	CEM633	985829	Balanced Funds	3807155	12.363	12.363	12.363	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/31/2009	0.08	7.77		No
ACU PL H/INCM /NL/N	CEM780	980548	Balanced Funds	3807155	17.556	17.556	17.556	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/31/2009	0.11	7.52		No
ACUITY ALL CAP & INCM T/U	AAI.UN	5353	Trust Units	3308001	9.66	9.89	9.67	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	12/27/2007	0.08	0		No
ACUITY FOCUSED T/RET T/U	AFU.UN	5383	Trust Units	3308001	5.95	5.99	5.96	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	01/27/2010	0.03	6.04		No
ACUITY GROWTH & INCM T/U	AIG.UN	5334	Trust Units	3308001	7.55	7.7	7.55	CAD								n/a	CA	No		TSE	0	n/a	12	Equity	01/27/2010	0.035	5.56		No
ADALTIS INC	ADS	5639	Common Stock	330	0	0	0	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
ADANAC MOLYBDENUM CORP	AUA	5478	Common Stock	330	0.095	0.105	0.1	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
ADAPTEC INC	ADPT	5354	Common Stock	315	3.18	3.19	3.19	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
ADAPTIVE BROADBAND CORP	ADAPQ	5327	Common Stock	330	0	0	0.018	USD								n/a	US	No		NAS	0	n/a	0	Equity	10/15/2008	0.08	n/a		No
ADC TELECOMMUNICATION	ADCT	2286	Common Stock	315	5.9	5.91	5.91	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
ADDAX PETROLEUM CORP *	AXC	5413	Common Stock	330	52.7	52.79	52.71	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	08/11/2009	0.1	0.76		No
ADDENDA CAPITAL INC *	ADV	5364	Common Stock	330	26.47	26.5	26.5	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	03/27/2008	0.34	5.13		No
ADECCO SA UNSPON ADR	AHEXY	5736	Common Stock	3308000	0	0	28.23	USD								n/a	ZZ	No		NAS	0	n/a	0	Equity	05/21/2009	0.689	n/a		No
ADF GROUP INC SV	DRX	5424	Common Stock	330	2.57	2.6	2.6	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
ADHEREX TECH INC	AHX	5429	Common Stock	330	0.04	0.05	0.04	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
ADHEREX TECH INC *		5423	Common Stock	330	0.3	0.33	0.312	USD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
ADJUSTABLE RATE MBS T/U *	ADJ.UN	5401	Miscellaneous	3308001	18.9	19.04	19	CAD								n/a	CA	No		TSE	0	n/a	12	Other	06/26/2009	0.135	8.53		No
ADOBE SYS INC	ADBE	5691	Common Stock	315	34.15	34.16	34.16	USD								n/a	US	No		NAS	0	n/a	4	Equity	03/25/2005	0.013	0.15		No
ADOBE VENTURES INC *	ADO.T	5687	Common Stock	330	0.15	0.2	0	CAD								n/a	CA	No			0	n/a	0	Equity	02/19/2003	0	n/a		No
ADOBE VENTURES INC - NEW*	AV	5688	Common Stock	330	0.69	0.75	0.69	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
ADTRAN INC	ADTN	5704	Common Stock	315	21.77	21.78	21.77	USD								n/a	US	No		NAS	0	n/a	4	Equity	02/02/2010	0.09	1.65		No
ADV O&G SR-D CV7.75%1DC11	AAV.DB.D	R39769	Bonds (other)	2756000	103	104	104	CAD								n/a	CA	No	12/01/2011	TSE	7.75	n/a	2	Bond		0	7.45	5.44035	No
ADVAN ENRGY CV 8% 31DC1*	AVN.DB.G	R41446	Convertible Debentures	2756000	90	99	95	CAD								n/a	CA	No	12/31/2011	TSE	8	n/a	2	Bond		0	8.42	10.934895	No
ADVANCED GAMING TECH *	ADVI	6017	Common Stock	330	0.015	0.03	0.02	USD								n/a	US	No		XY	0	n/a	0	Equity	06/23/2003	0	n/a		No
ADVANCED MICRO DEVICES IN	AMD	5876	Common Stock	315	8.07	8.08	8.07	USD								n/a	US	No		NYS	0	n/a	0	Equity		0	n/a		No
ADVANT CV S-D 7.75% 1DC1*	AVN.DB.D	R39735	Convertible Debentures	2756000	92.5	93	92.75	CAD								n/a	CA	No	12/01/2011	TSE	7.75	n/a	2	Bond		0	8.36	12.234729	No
ADVANTAGE LINK INC	ADLKF	6029	Common Stock	330	0	0	0	CAD								n/a	CA	No		NAS	0	n/a	0	Equity		0	n/a		No
ADVANTAGE OIL & GAS LTD	AAV	6010	Common Stock	315	6.96	6.98	6.98	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
ADVENTURE ELECTRONICS IN*		5991	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0.22	n/a		No
ADVITECH INC *	AVI	279	Common Stock	330	0.01	0.015	0.01	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
ADVITECH INC-NEW	AVI	332	Common Stock	330	0.065	0.07	0.065	CAD								n/a	CA	No		TNX	0	n/a	0	Equity		0	n/a		No
ADVITECH SOLUTIONS INC A		263	Common Stock	330	1	1	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
ADWALL CAPITAL CORP *		6000	Common Stock	330	0	0	0	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
AECON CV RED 7% 30SP14	ARE.DB	R00100	Convertible Debentures	2756000	107	107.99	107	CAD								n/a	CA	No	09/30/2014	TSE	7	n/a	1	Bond		0	6.54	5.091005	No
AECON GROUP INC	ARE	6276	Common Stock	315	14.09	14.13	14.09	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	12/22/2009	0.05	1.42		No
AEGON N.V. ORD AMER REG	AEG	6255	Common Stock	315	6.14	6.17	6.14	USD								n/a	ZZ	No		NYS	0	n/a	2	Equity	08/08/2008	0.452	14.73		No
AEON COMPANY LTD ADR	AONNY	6268	Common Stock	3308000	0	0	10.05	USD								n/a	ZZ	No		NAS	0	n/a	2	Equity	08/26/2009	0	0		No
AEROMECHANICAL SVCS LTD	AMA	6315	Common Stock	330	0.45	0.49	0.45	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
AES CORP	AES	409	Common Stock	315	13.39	13.4	13.41	USD								n/a	US	No		NYS	0	n/a	2	Equity		0	0		No
AES TR III 6.75% CV PFD	AES.PR.C	768	Preferred Shares	310	46.28	46.55	46.3	USD								n/a	US	No	01/01/2075	NYS	0	n/a	4	Equity	01/12/2010	0.844	7.29		No
AETERNA ZENTARIS INC	AEZ	392480	Common Stock	330	0.98	1	0.99	CAD								n/a	CA	No		TSE	0	n/a	0	Equity		0	n/a		No
AETNA INC	AET	6575	Common Stock	315	30.94	30.96	30.97	USD								n/a	US	No		NYS	0	n/a	1	Equity	11/10/2009	0.04	0.13		No
AFFYMETRIX INC	AFFX	6614	Common Stock	315	5.66	5.67	5.67	USD								n/a	US	No		NAS	0	n/a	0	Equity		0	n/a		No
AFLAC INC	AFL	6596	Common Stock	315	50.19	50.2	50.18	USD								n/a	US	No		ASE	0	n/a	4	Equity	11/16/2009	0.28	2.23		No
AFTON FOOD GROUP	AFF	6652	Common Stock	330	0	0	0	CAD								n/a	CA	No		TSX	0	n/a	0	Equity		0	n/a		No
AG GROWTH CV 7% 31DC14	AFN.DB	R00066	Convertible Debentures	2756000	105.5	105.85	105.85	CAD								n/a	CA	No	12/31/2014	TSE	7	n/a	1	Bond		0	6.61	5.464898	No
AGCO CORP	AGCO	6645	Common Stock	315	32.07	32.09	32.07	USD								n/a	US	No		NYS	0	n/a	4	Equity		0	0		No
AGERE SYSTEMS INC	AGR	6841	Common Stock	315	22.5	22.62	22.62	USD								n/a	US	No		NYS	0	n/a	0	Equity		0	n/a		No
AGF ACT CDN A/A-B /D	AGF937C	981013	Asset Allocation Funds	3807600	29.7	29.7	29.7	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF ACT CDN FD-B /S	AGF943C	991070	Canadian Equity Funds	3807150	11.24	11.24	11.24	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF ACT CROI-B CDN/S	AGF934C	991063	Canadian Equity Funds	3807150	30.75	30.75	30.75	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF ACT EURO CL /S	AGF812C	991087	European Equity Funds	3807450	19.44	19.44	19.44	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF ACT MDL /N	AGF144	994214	Global Equity Funds	3807500	15.33	15.33	15.33	CAD								n/a	CA	No			0	n/a	0	Mutual Fund	06/12/2003	0	n/a		No
