Symbole	Titre	Sous-catégorie	Type	Acheteur	Vendeur	Devise prix	yo	locomotive	Livre F	Franco	coucou	cheval F	CHECKBOX	Région	Non rachetable	Montant subséquent	Montant initial	Intérêt	Instrument financier	Fréquence	Échéance	Dividende	Date de dividende	Bourse	RM (%)	Rend. éché. - Marché (%)	Exclu de la facturation	Description
	R09388	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,500"	Obligation	1	2013-09-30	"0,000"			"4,50"	"4,500,000"	Non	AAT CPG 4.5% 30SP13A
	R09842	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,700"	Obligation	1	2013-12-16	"0,000"			"4,70"	"4,700,000"	Non	AAT CPG 4.7% 16DC13A
	R09855	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,700"	Obligation	1	2013-12-16	"0,000"			"4,70"	"4,700,000"	Non	AAT CPG 4.7% 16DC13A
	R09886	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,700"	Obligation	1	2013-12-18	"0,000"			"4,70"	"4,700,000"	Non	AAT CPG 4.7% 18DC13A
	R07536	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,900"	Obligation	1	2010-07-12	"0,000"			"4,90"	"4,900,000"	Non	AAT CPG 4.9% 12JL10A
	R08273	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,150"	Obligation	1	2011-05-12	"0,000"			"4,15"	"4,150,000"	Non	AAT CPG 4.15% 12MI11A
	R08407	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,150"	Obligation	1	2010-05-28	"0,000"			"4,15"	"4,150,000"	Non	AAT CPG 4.15% 28MI10A
	R09205	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,250"	Obligation	1	2011-09-12	"0,000"			"4,25"	"4,250,000"	Non	AAT CPG 4.25% 12SP11A
	R08911	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,350"	Obligation	1	2010-07-19	"0,000"			"4,35"	"4,350,000"	Non	AAT CPG 4.35% 19JL10A
	R08974	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,550"	Obligation	1	2011-07-25	"0,000"			"4,55"	"4,550,000"	Non	AAT CPG 4.55% 25JL11A
	R08927	Certificats de dépôt (intérêts composés)	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,550"	Obligation	1	2011-07-18	"0,000"			"4,55"	"4,550,000"	Non	AAT CPG 4.55% 18JL11CA
	R10296	Certificats de dépôt (intérêts composés)	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,550"	Obligation	1	2011-07-18	"0,000"			"4,55"	"4,550,000"	Non	AAT CPG 4.55% 18JL11CA
	R09016	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,650"	Obligation	1	2013-07-25	"0,000"			"4,65"	"4,650,000"	Non	AAT CPG 4.65% 25JL13A
	R08847	Certificats de dépôt	2203010	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"4,750"	Obligation	1	2013-07-11	"0,000"			"4,75"	"4,750,000"	Non	AAT CPG 4.75% 11JL13A
AAT123	926569	Fonds de valeurs à revenu fixe	3807245	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non	AAT CPG G/R S23/FR/N
ELUXY	7377	Actions ordinaires	3308000	"0,000"	"0,000"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	2		"1,426"	2008-04-02	NAS	"5,92"		Non	AB ELECTROLUX SPONS ADR
	762800	Fonds d'obligations canadiennes et fonds à revenu	3807700	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non	AB-EQUI
ABACQ	543	Actions ordinaires	330	"0,000"	"0,000"	USD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	ABACAN RESOURCE CORP
	565	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	ABACUS SOFTWARE GROUP INC
ABB	676	Actions ordinaires	3158000	"18,480"	"18,490"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	1		"0,445"	2009-07-22	NYS	"2,41"		Non	ABB LTD ADR
ABT	1388	Actions ordinaires	315	"54,710"	"54,740"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,400"	2010-01-13	NYS	"2,93"		Non	ABBOTT LABORATORIES
ABZ	1708	Actions ordinaires	315	"0,000"	"37,313"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,250"	2007-09-26	TSE	"2,84"		Non	ABER DIAMOND CORP *
ANF	1541	Actions ordinaires	315	"30,410"	"30,430"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,175"	2009-11-24	NYS	"2,30"		Non	ABERCROMBIE & FITCH CO-A-
FAX	1742	Actions ordinaires	3308015	"6,440"	"6,460"	USD								US	Non	n/d	n/d	"0,000"	Action	12		"0,035"	2010-01-27	ASE	"6,51"		Non	ABERDEEN ASIA-PAC INC FND
FAP	1761	Fonds à capitalisation fermée: Obligations	330	"6,420"	"6,440"	CAD								ZZ	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,050"	2009-07-29	TSE	"9,35"		Non	ABERDEEN ASIA-PACIFIC INC
GSV.UN	1812	Fiducies de redevances	3308001	"6,500"	"6,890"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,060"	2008-12-11	TSE	"11,08"		Non	ABERDEEN G7 T/U
AXB	82163	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	ABITIBIBOWATER CDA-EXCH
ABH	2826	Actions ordinaires	330	"0,000"	"0,000"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	ABITIBIBOWATER INC
ABN	287	Actions ordinaires	3158000	"0,000"	"0,000"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	2		"0,791"	2007-07-26	NYS	"3,15"		Non	ABN AMRO HLDG NV SP-ADR *
ADN	4372	Actions ordinaires	330	"6,350"	"6,450"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,017"	2010-01-13	TSE	"3,18"		Non	ACADIAN TIMBER CORP
ADN.UN	4364	Fiducies de redevances	3308001	"6,360"	"6,450"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,017"	2009-11-26	TSE	"3,11"		Non	ACADIAN TIMBER INCM PA*
	682	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	ACASTI PHARMA INC CL-A
	L05144	Acceptations bancaires	2302100	"0,000"	"99,959"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-03-09	"0,000"			n/d	"0,348166"	Non	ACC BANC BNC 9MR10
	L05153	Acceptations bancaires	2302100	"99,946"	"99,946"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-03-22	"0,000"			n/d	"0,352154"	Non	ACC BANC BNC 22MR10
	L05162	Acceptations bancaires	2302100	"99,956"	"99,956"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-03-26	"0,000"			n/d	"0,267784"	Non	ACC BANC BNC 26MR10
APS	4401	Actions ordinaires	330	"0,015"	"0,020"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	ACCELRATE POWER SYSTEMS *
ACN	4391	Actions ordinaires	315	"33,080"	"33,100"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	1		"0,500"	2008-10-08	NYS	"1,52"		Non	ACCENTURE LTD-CL-A *
ACN	4396	Actions ordinaires	315	"41,900"	"41,930"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,750"	2009-10-14	NYS	n/d		Non	ACCENTURE PLC CL-A
AABC	4352	Actions ordinaires	330	"18,450"	"19,900"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,350"	2005-12-09	NAS	n/d		Non	ACCESS ANYTIME BANCORP *
ABD	4537	Actions ordinaires	315	"8,140"	"8,160"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non	ACCO BRANDS CORP
ACD	4421	Actions ordinaires	330	"5,500"	"5,690"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,065"	2009-11-10	TSE	"4,73"		Non	ACCORD FINANCIAL CORP
ASA	288	Actions ordinaires	330	"0,560"	"0,570"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	ACD SYSTEMS INTL INC
ACE.A	4516	Actions ordinaires	315	"6,150"	"6,300"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	ACE AVIATION HLDGS-A RV
ACE.B	4517	Actions ordinaires	330	"6,130"	"6,200"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	ACE AVIATION HLDGS-B VTG
ACE	4462	Actions ordinaires	315	"48,410"	"48,430"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	4		"0,310"	2009-12-15	NYS	"2,56"		Non	ACE LTD-NEW
	4882	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	ACER CAPITAL CORP *
ACET	4440	Actions ordinaires	330	"5,440"	"5,450"	USD								US	Non	n/d	n/d	"0,000"	Action	2		"0,100"	2009-12-22	NAS	"3,67"		Non	ACETO CORP
	B83773	Obligations provinciales	2601305	"107,552"	"107,552"	CAD								CA	Non	n/d	n/d	"4,650"	Obligation	2	2017-06-15	"0,000"			"4,32"	"3,481,269"	Non	ACFA 4.65% 15JN17
ACG	380	Actions ordinaires	3308015	"8,250"	"8,250"	USD								US	Non	n/d	n/d	"0,000"	Action	12		"0,050"	2007-01-10	NYS	"0,00"		Non	ACM INCOME FUND *
AKV	5100	Actions ordinaires	330	"0,065"	"0,070"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	ACREX VENTURES LTD
FIA110	975816	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACT CR PME S1-07/S/N
FIA111	975005	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACT CR PME S2-07/S/N
FIA096	994168	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACT CROI PME96 /SF/N
FIA107	964142	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACT CRS PME S1-06 /N
FIA103	975547	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACT CRS PME S103/S/N
FIA105	969517	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACT CRS PME S105/S/N
FIA083	994868	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACT CRS PME-D /N
ACTL	5110	Actions ordinaires	330	"11,060"	"11,070"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	ACTEL CORP
AAA	5136	Actions ordinaires	330	"0,020"	"0,040"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"	2002-05-13	V	n/d		Non	ACTIVE ASSETS & ASSC INC*
ACT	5399	Actions ordinaires	330	"0,050"	"0,055"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	ACTIVE CONTROL TECHNO INC
ATVI	5254	Actions ordinaires	315	"10,120"	"10,130"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	ACTIVISION BLIZZARD INC
FIA100	989553	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACTN CROI PME S100/N
FIA101	970781	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACTN CROI PME S101/N
FIA102	978473	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACTN CROI PME S102/N
FIA092	995039	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACTN CROIS PME S92/N
FIA093	994879	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACTN CROIS PME S93/N
FIA094	995161	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACTN CROIS PME S94/N
FIA095	994914	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACTN CROIS PME S95/N
FIA097	994449	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACTN CROIS PME S97/N
FIA098	991247	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACTN CROIS PME S98/N
FIA099	982697	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non	ACTN CROIS PME S99/N
CEM423	987983	Fonds d'actions canadiennes	3807154	"20,330"	"20,330"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,210"	2007-12-31		"1,03"		Non	ACU ACT CDN /N
CEM444	985807	Autres titres	3807153	"19,936"	"19,936"	CAD								CA	Non	n/d	n/d	"0,000"	Autre	4		"0,520"	2007-12-31		"10,43"		Non	ACU ACT CDN TC30/S/N
CEM633	985829	Fonds de placement équilibré	3807155	"12,363"	"12,363"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,080"	2009-12-31		"7,77"		Non	ACU H/REV /N
CEM780	980548	Fonds de placement équilibré	3807155	"17,556"	"17,556"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,110"	2009-12-31		"7,52"		Non	ACU H/REV PL /SF/N
CEM413	985833	Fonds de placement équilibré	3807703	"11,257"	"11,257"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	4		"0,100"	2009-12-31		"3,55"		Non	ACU REV FXE /N
CEM750	980545	Fonds de placement équilibré	3807703	"15,309"	"15,309"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	4		"0,220"	2009-12-31		"5,75"		Non	ACU REV FXE PL /SF/N
CEM813	980848	Autres titres	3807153	"7,326"	"7,326"	CAD								CA	Non	n/d	n/d	"0,000"	Autre	0		"0,000"			n/d		Non	ACU TC30 A/C CC /N
AAI.UN	5353	Fiducies de redevances	3308001	"9,660"	"9,890"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,080"	2007-12-27	TSE	"0,00"		Non	ACUITY ALL CAP & INCM T/U
AFU.UN	5383	Fiducies de redevances	3308001	"5,950"	"5,990"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,030"	2010-01-27	TSE	"6,04"		Non	ACUITY FOCUSED T/RET T/U
AIG.UN	5334	Fiducies de redevances	3308001	"7,550"	"7,700"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,035"	2010-01-27	TSE	"5,56"		Non	ACUITY GROWTH & INCM T/U
ADS	5639	Actions ordinaires	330	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	ADALTIS INC
AUA	5478	Actions ordinaires	330	"0,095"	"0,105"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	ADANAC MOLYBDENUM CORP
ADPT	5354	Actions ordinaires	315	"3,180"	"3,190"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	ADAPTEC INC
ADAPQ	5327	Actions ordinaires	330	"0,000"	"0,000"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,080"	2008-10-15	NAS	n/d		Non	ADAPTIVE BROADBAND CORP
ADCT	2286	Actions ordinaires	315	"5,900"	"5,910"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non	ADC TELECOMMUNICATION
AXC	5413	Actions ordinaires	330	"52,700"	"52,790"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,100"	2009-08-11	TSE	"0,76"		Non	ADDAX PETROLEUM CORP *
ADV	5364	Actions ordinaires	330	"26,470"	"26,500"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,340"	2008-03-27	TSE	"5,13"		Non	ADDENDA CAPITAL INC *
AHEXY	5736	Actions ordinaires	3308000	"0,000"	"0,000"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,689"	2009-05-21	NAS	n/d		Non	ADECCO SA UNSPON ADR
AHX	5429	Actions ordinaires	330	"0,040"	"0,050"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non	ADHEREX TECH INC
	5423	Actions ordinaires	330	"0,300"	"0,330"	USD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non	ADHEREX TECH INC *
ADBE	5691	Actions ordinaires	315	"34,150"	"34,160"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,013"	2005-03-25	NAS	"0,15"		Non	ADOBE SYS INC
ADO.T	5687	Actions ordinaires	330	"0,150"	"0,200"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"	2003-02-19		n/d		Non	ADOBE VENTURES INC *
AV	5688	Actions ordinaires	330	"0,690"	"0,750"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non	ADOBE VENTURES INC - NEW*
ADTN	5704	Actions ordinaires	315	"21,770"	"21,780"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,090"	2010-02-02	NAS	"1,65"		Non	ADTRAN INC
AAV.DB.D	R39769	Obligations (autres)	2756000	"103,000"	"104,000"	CAD								CA	Non	n/d	n/d	"7,750"	Obligation	2	2011-12-01	"0,000"		TSE	"7,45"	"5,440,350"	Non	ADV O&G SR-D CV7.75%1DC11
AVN.DB.G	R41446	Débentures convertibles	2756000	"90,000"	"99,000"	CAD								CA	Non	n/d	n/d	"8,000"	Obligation	2	2011-12-31	"0,000"		TSE	"8,42"	"10,934,895"	Non	ADVAN ENRGY CV 8% 31DC1*
ADVI	6017	Actions ordinaires	330	"0,015"	"0,030"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"	2003-06-23	XY	n/d		Non	ADVANCED GAMING TECH *
AMD	5876	Actions ordinaires	315	"8,070"	"8,080"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non	ADVANCED MICRO DEVICES IN
