Description	Symbole	Titre	Sous-catégorie	Type	Acheteur	Vendeur	Clôture	Devise prix	yo	locomotive	Livre F	Franco	coucou	cheval F	CHECKBOX	Région	Non rachetable	Montant subséquent	Montant initial	Intérêt	Instrument financier	Fréquence	Échéance	Dividende	Date de dividende	Bourse	RM (%)	Rend. éché. - Marché (%)	Exclu de la facturation
360NETWORKS INC		665971	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non
3COM CORP	COMS	665750	Actions ordinaires	315	"7,510"	"7,520"	"7,520"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non
3DFX INTERACTIVE	TDFXQ	665754	Actions ordinaires	330	"0,001"	"0,001"	"0,001"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non
3EEE INC *	TEEZ	665977	Actions ordinaires	330	"0,000"	"0,000"	"0,030"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non
3M COMPANY	MMM	666038	Actions ordinaires	315	"81,850"	"81,870"	"81,830"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,510"	2009-11-18	NYS	"2,49"		Non
407 INTL CB 4.9% 4OC10		T49445	Obligations (autres)	2606000	"102,714"	"102,714"	"102,714"	CAD								CA	Non	n/d	n/d	"4,900"	Obligation	2	2010-10-04	"0,000"			"4,77"	"0,940171"	Non
527878 B.C. LTD CL-A-RSTD		262727	Actions ordinaires	330	"2,370"	"2,370"	"2,370"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non
5N PLUS INC	VNP	260983	Actions ordinaires	330	"5,420"	"5,450"	"5,420"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non
6550568 CANADA INC *		618249	Actions ordinaires	330	"0,010"	"0,010"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non
885		9~0005	Acceptations bancaires	MAN	"0,000"	"0,000"	"0,000"	CAD								DE	Non	n/d	n/d	"0,000"	Obligation	0	2013-11-23	"0,000"			n/d	n/d	Non
99 CENTS ONLY STORES	NDN	486900	Actions ordinaires	315	"12,760"	"12,770"	"12,770"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non
AAER INC	AAE	33772	Actions ordinaires	330	"0,085"	"0,090"	"0,085"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non
AAT CPG 4% 17DC10CA		R09866	Certificats de dépôt (intérêts composés)	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,000"	Obligation	1	2010-12-17	"0,000"			"4,00"	"4,000,000"	Non
AAT CPG 3.65% 11AU10A		R05336	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"3,650"	Obligation	1	2010-08-11	"0,000"			"3,65"	"3,650,000"	Non
AAT CPG 4% 6DC10A		R06919	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,000"	Obligation	1	2010-12-06	"0,000"			"4,00"	"4,000,000"	Non
AAT CPG 4.3% 4AU11A		R09077	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,300"	Obligation	1	2011-08-04	"0,000"			"4,30"	"4,300,000"	Non
AAT CPG 4.3% 8DC11A		R09782	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,300"	Obligation	1	2011-12-08	"0,000"			"4,30"	"4,300,000"	Non
AAT CPG 4.3% 15DC11A		R09831	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,300"	Obligation	1	2011-12-15	"0,000"			"4,30"	"4,300,000"	Non
AAT CPG 4.3% 21SP11A		R06482	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,300"	Obligation	1	2011-09-21	"0,000"			"4,30"	"4,300,000"	Non
AAT CPG 4.3% 23SP11A		R09312	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,300"	Obligation	1	2011-09-23	"0,000"			"4,30"	"4,300,000"	Non
AAT CPG 4.3% 30SP11A		R09383	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,300"	Obligation	1	2011-09-30	"0,000"			"4,30"	"4,300,000"	Non
AAT CPG 4.4% 2OC12A		R09423	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,400"	Obligation	1	2012-10-02	"0,000"			"4,40"	"4,400,000"	Non
AAT CPG 4.5% 1OC13CA		R09408	Certificats de dépôt (intérêts composés)	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,500"	Obligation	1	2013-10-01	"0,000"			"4,50"	"4,500,000"	Non
AAT CPG 4.5% 30SP13A		R09388	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,500"	Obligation	1	2013-09-30	"0,000"			"4,50"	"4,500,000"	Non
AAT CPG 4.7% 16DC13A		R09842	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,700"	Obligation	1	2013-12-16	"0,000"			"4,70"	"4,700,000"	Non
AAT CPG 4.7% 16DC13A		R09855	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,700"	Obligation	1	2013-12-16	"0,000"			"4,70"	"4,700,000"	Non
AAT CPG 4.7% 18DC13A		R09886	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,700"	Obligation	1	2013-12-18	"0,000"			"4,70"	"4,700,000"	Non
AAT CPG 4.9% 12JL10A		R07536	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,900"	Obligation	1	2010-07-12	"0,000"			"4,90"	"4,900,000"	Non
AAT CPG 4.15% 12MI11A		R08273	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,150"	Obligation	1	2011-05-12	"0,000"			"4,15"	"4,150,000"	Non
AAT CPG 4.15% 28MI10A		R08407	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,150"	Obligation	1	2010-05-28	"0,000"			"4,15"	"4,150,000"	Non
AAT CPG 4.25% 12SP11A		R09205	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,250"	Obligation	1	2011-09-12	"0,000"			"4,25"	"4,250,000"	Non
AAT CPG 4.35% 19JL10A		R08911	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,350"	Obligation	1	2010-07-19	"0,000"			"4,35"	"4,350,000"	Non
AAT CPG 4.55% 25JL11A		R08974	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,550"	Obligation	1	2011-07-25	"0,000"			"4,55"	"4,550,000"	Non
AAT CPG 4.55% 18JL11CA		R08927	Certificats de dépôt (intérêts composés)	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,550"	Obligation	1	2011-07-18	"0,000"			"4,55"	"4,550,000"	Non
AAT CPG 4.55% 18JL11CA		R10296	Certificats de dépôt (intérêts composés)	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,550"	Obligation	1	2011-07-18	"0,000"			"4,55"	"4,550,000"	Non
AAT CPG 4.65% 25JL13A		R09016	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,650"	Obligation	1	2013-07-25	"0,000"			"4,65"	"4,650,000"	Non
AAT CPG 4.75% 11JL13A		R08847	Certificats de dépôt	2203010	"100,000"	"100,000"	"0,000"	CAD								CA	Non	n/d	n/d	"4,750"	Obligation	1	2013-07-11	"0,000"			"4,75"	"4,750,000"	Non
AAT CPG G/R S23/FR/N	AAT123	926569	Fonds de valeurs à revenu fixe	3807245	"100,000"	"100,000"	"100,000"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
AB ELECTROLUX SPONS ADR	ELUXY	7377	Actions ordinaires	3308000	"0,000"	"0,000"	"48,180"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	2		"1,426"	2008-04-02	NAS	"5,92"		Non
AB-EQUI		762800	Fonds d'obligations canadiennes et fonds à revenu	3807700	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	0		"0,000"			n/d		Non
ABACAN RESOURCE CORP	ABACQ	543	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	USD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non
ABACUS SOFTWARE GROUP INC		565	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non
ABB LTD ADR	ABB	676	Actions ordinaires	3158000	"18,480"	"18,490"	"18,470"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	1		"0,445"	2009-07-22	NYS	"2,41"		Non
ABBOTT LABORATORIES	ABT	1388	Actions ordinaires	315	"54,710"	"54,740"	"54,700"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,400"	2010-01-13	NYS	"2,93"		Non
ABER DIAMOND CORP *	ABZ	1708	Actions ordinaires	315	"0,000"	"37,313"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,250"	2007-09-26	TSE	"2,84"		Non
ABERCROMBIE & FITCH CO-A-	ANF	1541	Actions ordinaires	315	"30,410"	"30,430"	"30,450"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,175"	2009-11-24	NYS	"2,30"		Non
ABERDEEN ASIA-PAC INC FND	FAX	1742	Actions ordinaires	3308015	"6,440"	"6,460"	"6,450"	USD								US	Non	n/d	n/d	"0,000"	Action	12		"0,035"	2010-01-27	ASE	"6,51"		Non
ABERDEEN ASIA-PACIFIC INC	FAP	1761	Fonds à capitalisation fermée: Obligations	330	"6,420"	"6,440"	"6,420"	CAD								ZZ	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,050"	2009-07-29	TSE	"9,35"		Non
ABERDEEN G7 T/U	GSV.UN	1812	Fiducies de redevances	3308001	"6,500"	"6,890"	"6,500"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,060"	2008-12-11	TSE	"11,08"		Non
ABITIBIBOWATER CDA-EXCH	AXB	82163	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non
ABITIBIBOWATER INC	ABH	2826	Actions ordinaires	330	"0,000"	"0,000"	"0,120"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non
ABN AMRO HLDG NV SP-ADR *	ABN	287	Actions ordinaires	3158000	"0,000"	"0,000"	"50,250"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	2		"0,791"	2007-07-26	NYS	"3,15"		Non
ACADIAN TIMBER CORP	ADN	4372	Actions ordinaires	330	"6,350"	"6,450"	"6,300"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,017"	2010-01-13	TSE	"3,18"		Non
ACADIAN TIMBER INCM PA*	ADN.UN	4364	Fiducies de redevances	3308001	"6,360"	"6,450"	"6,440"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,017"	2009-11-26	TSE	"3,11"		Non
ACASTI PHARMA INC CL-A		682	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non
ACC BANC BNC 9MR10		L05144	Acceptations bancaires	2302100	"0,000"	"99,959"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-03-09	"0,000"			n/d	"0,348166"	Non
ACC BANC BNC 22MR10		L05153	Acceptations bancaires	2302100	"99,946"	"99,946"	"99,946"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-03-22	"0,000"			n/d	"0,352154"	Non
ACC BANC BNC 26MR10		L05162	Acceptations bancaires	2302100	"99,956"	"99,956"	"99,956"	CAD								CA	Non	n/d	n/d	"0,000"	Obligation	0	2010-03-26	"0,000"			n/d	"0,267784"	Non
ACCELRATE POWER SYSTEMS *	APS	4401	Actions ordinaires	330	"0,015"	"0,020"	"0,015"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non
ACCENTURE LTD-CL-A *	ACN	4391	Actions ordinaires	315	"33,080"	"33,100"	"33,000"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	1		"0,500"	2008-10-08	NYS	"1,52"		Non
ACCENTURE PLC CL-A	ACN	4396	Actions ordinaires	315	"41,900"	"41,930"	"41,880"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,750"	2009-10-14	NYS	n/d		Non
ACCESS ANYTIME BANCORP *	AABC	4352	Actions ordinaires	330	"18,450"	"19,900"	"18,950"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,350"	2005-12-09	NAS	n/d		Non
ACCO BRANDS CORP	ABD	4537	Actions ordinaires	315	"8,140"	"8,160"	"8,160"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NYS	n/d		Non
ACCORD FINANCIAL CORP	ACD	4421	Actions ordinaires	330	"5,500"	"5,690"	"5,500"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,065"	2009-11-10	TSE	"4,73"		Non
ACD SYSTEMS INTL INC	ASA	288	Actions ordinaires	330	"0,560"	"0,570"	"0,560"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non
ACE AVIATION HLDGS-A RV	ACE.A	4516	Actions ordinaires	315	"6,150"	"6,300"	"6,150"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non
ACE AVIATION HLDGS-B VTG	ACE.B	4517	Actions ordinaires	330	"6,130"	"6,200"	"6,130"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non
ACE LTD-NEW	ACE	4462	Actions ordinaires	315	"48,410"	"48,430"	"48,440"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	4		"0,310"	2009-12-15	NYS	"2,56"		Non
ACER CAPITAL CORP *		4882	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non
ACETO CORP	ACET	4440	Actions ordinaires	330	"5,440"	"5,450"	"5,450"	USD								US	Non	n/d	n/d	"0,000"	Action	2		"0,100"	2009-12-22	NAS	"3,67"		Non
ACFA 4.65% 15JN17		B83773	Obligations provinciales	2601305	"107,552"	"107,552"	"107,552"	CAD								CA	Non	n/d	n/d	"4,650"	Obligation	2	2017-06-15	"0,000"			"4,32"	"3,481,269"	Non
ACM INCOME FUND *	ACG	380	Actions ordinaires	3308015	"8,250"	"8,250"	"0,000"	USD								US	Non	n/d	n/d	"0,000"	Action	12		"0,050"	2007-01-10	NYS	"0,00"		Non
ACREX VENTURES LTD	AKV	5100	Actions ordinaires	330	"0,065"	"0,070"	"0,070"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non
ACT CR PME S1-07/S/N	FIA110	975816	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACT CR PME S2-07/S/N	FIA111	975005	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACT CROI PME96 /SF/N	FIA096	994168	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACT CRS PME S1-06 /N	FIA107	964142	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACT CRS PME S103/S/N	FIA103	975547	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACT CRS PME S105/S/N	FIA105	969517	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACT CRS PME-D /N	FIA083	994868	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACTEL CORP	ACTL	5110	Actions ordinaires	330	"11,060"	"11,070"	"11,070"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non
ACTIVE ASSETS & ASSC INC*	AAA	5136	Actions ordinaires	330	"0,020"	"0,040"	"0,020"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"	2002-05-13	V	n/d		Non
ACTIVE CONTROL TECHNO INC	ACT	5399	Actions ordinaires	330	"0,050"	"0,055"	"0,050"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non
ACTIVISION BLIZZARD INC	ATVI	5254	Actions ordinaires	315	"10,120"	"10,130"	"10,120"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non
ACTN CROI PME S100/N	FIA100	989553	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACTN CROI PME S101/N	FIA101	970781	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACTN CROI PME S102/N	FIA102	978473	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACTN CROIS PME S92/N	FIA092	995039	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACTN CROIS PME S93/N	FIA093	994879	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACTN CROIS PME S94/N	FIA094	995161	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACTN CROIS PME S95/N	FIA095	994914	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACTN CROIS PME S97/N	FIA097	994449	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACTN CROIS PME S98/N	FIA098	991247	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACTN CROIS PME S99/N	FIA099	982697	Fonds d'actions canadiennes	3807152	"13,767"	"13,767"	"13,767"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,543"	2009-12-31		"3,94"		Non
ACU ACT CDN /N	CEM423	987983	Fonds d'actions canadiennes	3807154	"20,330"	"20,330"	"20,330"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	1		"0,210"	2007-12-31		"1,03"		Non
ACU ACT CDN TC30/S/N	CEM444	985807	Autres titres	3807153	"19,936"	"19,936"	"19,936"	CAD								CA	Non	n/d	n/d	"0,000"	Autre	4		"0,520"	2007-12-31		"10,43"		Non
ACU H/REV /N	CEM633	985829	Fonds de placement équilibré	3807155	"12,363"	"12,363"	"12,363"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,080"	2009-12-31		"7,77"		Non
ACU H/REV PL /SF/N	CEM780	980548	Fonds de placement équilibré	3807155	"17,556"	"17,556"	"17,556"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	12		"0,110"	2009-12-31		"7,52"		Non
ACU REV FXE /N	CEM413	985833	Fonds de placement équilibré	3807703	"11,257"	"11,257"	"11,257"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	4		"0,100"	2009-12-31		"3,55"		Non
ACU REV FXE PL /SF/N	CEM750	980545	Fonds de placement équilibré	3807703	"15,309"	"15,309"	"15,309"	CAD								CA	Non	n/d	n/d	"0,000"	Fonds d'investissement	4		"0,220"	2009-12-31		"5,75"		Non
ACU TC30 A/C CC /N	CEM813	980848	Autres titres	3807153	"7,326"	"7,326"	"7,326"	CAD								CA	Non	n/d	n/d	"0,000"	Autre	0		"0,000"			n/d		Non
ACUITY ALL CAP & INCM T/U	AAI.UN	5353	Fiducies de redevances	3308001	"9,660"	"9,890"	"9,670"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,080"	2007-12-27	TSE	"0,00"		Non
ACUITY FOCUSED T/RET T/U	AFU.UN	5383	Fiducies de redevances	3308001	"5,950"	"5,990"	"5,960"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,030"	2010-01-27	TSE	"6,04"		Non
ACUITY GROWTH & INCM T/U	AIG.UN	5334	Fiducies de redevances	3308001	"7,550"	"7,700"	"7,550"	CAD								CA	Non	n/d	n/d	"0,000"	Action	12		"0,035"	2010-01-27	TSE	"5,56"		Non
ADALTIS INC	ADS	5639	Actions ordinaires	330	"0,000"	"0,000"	"0,000"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non
ADANAC MOLYBDENUM CORP	AUA	5478	Actions ordinaires	330	"0,095"	"0,105"	"0,100"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSX	n/d		Non
ADAPTEC INC	ADPT	5354	Actions ordinaires	315	"3,180"	"3,190"	"3,190"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non
ADAPTIVE BROADBAND CORP	ADAPQ	5327	Actions ordinaires	330	"0,000"	"0,000"	"0,018"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,080"	2008-10-15	NAS	n/d		Non
ADC TELECOMMUNICATION	ADCT	2286	Actions ordinaires	315	"5,900"	"5,910"	"5,910"	USD								US	Non	n/d	n/d	"0,000"	Action	0		"0,000"		NAS	n/d		Non
ADDAX PETROLEUM CORP *	AXC	5413	Actions ordinaires	330	"52,700"	"52,790"	"52,710"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,100"	2009-08-11	TSE	"0,76"		Non
ADDENDA CAPITAL INC *	ADV	5364	Actions ordinaires	330	"26,470"	"26,500"	"26,500"	CAD								CA	Non	n/d	n/d	"0,000"	Action	4		"0,340"	2008-03-27	TSE	"5,13"		Non
ADECCO SA UNSPON ADR	AHEXY	5736	Actions ordinaires	3308000	"0,000"	"0,000"	"28,230"	USD								ZZ	Non	n/d	n/d	"0,000"	Action	0		"0,689"	2009-05-21	NAS	n/d		Non
ADHEREX TECH INC	AHX	5429	Actions ordinaires	330	"0,040"	"0,050"	"0,040"	CAD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"		TSE	n/d		Non
ADHEREX TECH INC *		5423	Actions ordinaires	330	"0,300"	"0,330"	"0,312"	USD								CA	Non	n/d	n/d	"0,000"	Action	0		"0,000"			n/d		Non
ADOBE SYS INC	ADBE	5691	Actions ordinaires	315	"34,150"	"34,160"	"34,160"	USD								US	Non	n/d	n/d	"0,000"	Action	4		"0,013"	2005-03-25	NAS	"0,15"		Non
