"Description"	"Symbol"	"Security"	"Subcategory"	"Type"	"Bid"	"Ask"	"Close"	"Cur. Price"	"Subsequent Amount"	"Region"	"Non-redeemable"	"Maturity"	"Market"	"Interest"	"Initial Amount"	"Frequency"	"Financial Instrument"	"Dividend Date"	"Dividend"	"MY (%)"	"YTM - Market (%)"
"21ST CENTURY TECH INC *"	"TFCT"	"685242"	"Common Stock"	"330"	"0.004"	"0.004"	"0.004"	"USD"	"n/a"	"US"	"No"	""	"XY"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"21ST CENTURY TECHS"	"TFCYQ"	"685243"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"360NETWORKS INC"	""	"665971"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"3COM CORP"	"COMS"	"665750"	"Common Stock"	"315"	"7.510"	"7.520"	"7.520"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"3DFX INTERACTIVE"	"TDFXQ"	"665754"	"Common Stock"	"330"	"0.001"	"0.001"	"0.001"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"3EEE INC *"	"TEEZ"	"665977"	"Common Stock"	"330"	"0.000"	"0.000"	"0.030"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"3M COMPANY"	"MMM"	"666038"	"Common Stock"	"315"	"81.850"	"81.870"	"81.830"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"11/18/2009"	"0.510"	"2.49"	""
"407 INTL 4% 21FB06"	""	"T49438"	"Bonds (other)"	"2606000"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"02/21/2006"	""	"4.000"	"n/a"	"2"	"Bond"	""	"0.000"	"4.00"	"0.000000"
"407 INTL 6.9% 17DC07"	""	"T49431"	"Bonds (other)"	"2606000"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/17/2007"	""	"6.900"	"n/a"	"2"	"Bond"	""	"0.000"	"6.90"	"0.000000"
"407 INTL CB 4.9% 4OC10"	""	"T49445"	"Bonds (other)"	"2606000"	"102.714"	"102.714"	"102.714"	"CAD"	"n/a"	"CA"	"No"	"10/04/2010"	""	"4.900"	"n/a"	"2"	"Bond"	""	"0.000"	"4.77"	"0.940171"
"407 ITL S99A8 6.55%18OC06"	""	"T49428"	"Bonds (other)"	"2606000"	"105.943"	"105.943"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"10/18/2006"	""	"6.550"	"n/a"	"2"	"Bond"	""	"0.000"	"6.18"	"0.000000"
"527878 B.C. LTD CL-A-RSTD"	""	"262727"	"Common Stock"	"330"	"2.370"	"2.370"	"2.370"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"5BANC SPLIT INC-A (CAP) *"	"FBS.A"	"262737"	"Common Stock"	"3308005"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"11/30/2006"	"0.360"	"n/a"	""
"5N PLUS INC"	"VNP"	"260983"	"Common Stock"	"330"	"5.420"	"5.450"	"5.420"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"6550568 CANADA INC *"	""	"618249"	"Common Stock"	"330"	"0.010"	"0.010"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"724 SOLUTIONS INC *"	""	"607547"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	"04/24/2003"	"0.000"	"n/a"	""
"99 CENTS ONLY STORES"	"NDN"	"486900"	"Common Stock"	"315"	"12.760"	"12.770"	"12.770"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"AAER INC"	"AAE"	"033772"	"Common Stock"	"330"	"0.085"	"0.090"	"0.085"	"CAD"	"n/a"	"CA"	"No"	""	"TSX"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"AAT GIC 4% 17DC10CA"	""	"R09866"	"Term Deposits (Compound Interest)"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/17/2010"	""	"4.000"	"n/a"	"1"	"Bond"	""	"0.000"	"4.00"	"4.000000"
"AAT GIC 3.65% 11AG10A"	""	"R05336"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"08/11/2010"	""	"3.650"	"n/a"	"1"	"Bond"	""	"0.000"	"3.65"	"3.650000"
"AAT GIC 4% 6DC10A"	""	"R06919"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/06/2010"	""	"4.000"	"n/a"	"1"	"Bond"	""	"0.000"	"4.00"	"4.000000"
"AAT GIC 4.3% 4AG11A"	""	"R09077"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"08/04/2011"	""	"4.300"	"n/a"	"1"	"Bond"	""	"0.000"	"4.30"	"4.300000"
"AAT GIC 4.3% 8DC11A"	""	"R09782"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/08/2011"	""	"4.300"	"n/a"	"1"	"Bond"	""	"0.000"	"4.30"	"4.300000"
"AAT GIC 4.3% 15DC11A"	""	"R09831"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/15/2011"	""	"4.300"	"n/a"	"1"	"Bond"	""	"0.000"	"4.30"	"4.300000"
"AAT GIC 4.3% 21SP11A"	""	"R06482"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"09/21/2011"	""	"4.300"	"n/a"	"1"	"Bond"	""	"0.000"	"4.30"	"4.300000"
"AAT GIC 4.3% 23SP11A"	""	"R09312"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"09/23/2011"	""	"4.300"	"n/a"	"1"	"Bond"	""	"0.000"	"4.30"	"4.300000"
"AAT GIC 4.3% 30SP11A"	""	"R09383"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"09/30/2011"	""	"4.300"	"n/a"	"1"	"Bond"	""	"0.000"	"4.30"	"4.300000"
"AAT GIC 4.4% 2OC12A"	""	"R09423"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"10/02/2012"	""	"4.400"	"n/a"	"1"	"Bond"	""	"0.000"	"4.40"	"4.400000"
"AAT GIC 4.5% 1OC13CA"	""	"R09408"	"Term Deposits (Compound Interest)"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"10/01/2013"	""	"4.500"	"n/a"	"1"	"Bond"	""	"0.000"	"4.50"	"4.500000"
"AAT GIC 4.5% 30SP13A"	""	"R09388"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"09/30/2013"	""	"4.500"	"n/a"	"1"	"Bond"	""	"0.000"	"4.50"	"4.500000"
"AAT GIC 4.7% 16DC13A"	""	"R09842"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/16/2013"	""	"4.700"	"n/a"	"1"	"Bond"	""	"0.000"	"4.70"	"4.700000"
"AAT GIC 4.7% 16DC13A"	""	"R09855"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/16/2013"	""	"4.700"	"n/a"	"1"	"Bond"	""	"0.000"	"4.70"	"4.700000"
"AAT GIC 4.7% 18DC13A"	""	"R09886"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/18/2013"	""	"4.700"	"n/a"	"1"	"Bond"	""	"0.000"	"4.70"	"4.700000"
"AAT GIC 4.9% 12JL10A"	""	"R07536"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"07/12/2010"	""	"4.900"	"n/a"	"1"	"Bond"	""	"0.000"	"4.90"	"4.900000"
"AAT GIC 4.15% 12MY11A"	""	"R08273"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"05/12/2011"	""	"4.150"	"n/a"	"1"	"Bond"	""	"0.000"	"4.15"	"4.150000"
"AAT GIC 4.15% 28MY10A"	""	"R08407"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"05/28/2010"	""	"4.150"	"n/a"	"1"	"Bond"	""	"0.000"	"4.15"	"4.150000"
"AAT GIC 4.25% 12SP11A"	""	"R09205"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"09/12/2011"	""	"4.250"	"n/a"	"1"	"Bond"	""	"0.000"	"4.25"	"4.250000"
"AAT GIC 4.35% 19JL10A"	""	"R08911"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"07/19/2010"	""	"4.350"	"n/a"	"1"	"Bond"	""	"0.000"	"4.35"	"4.350000"
"AAT GIC 4.55% 25JL11A"	""	"R08974"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"07/25/2011"	""	"4.550"	"n/a"	"1"	"Bond"	""	"0.000"	"4.55"	"4.550000"
"AAT GIC 4.55% 18JL11CA"	""	"R08927"	"Term Deposits (Compound Interest)"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"07/18/2011"	""	"4.550"	"n/a"	"1"	"Bond"	""	"0.000"	"4.55"	"4.550000"
"AAT GIC 4.55% 18JL11CA"	""	"R10296"	"Term Deposits (Compound Interest)"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"07/18/2011"	""	"4.550"	"n/a"	"1"	"Bond"	""	"0.000"	"4.55"	"4.550000"
"AAT GIC 4.65% 25JL13A"	""	"R09016"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"07/25/2013"	""	"4.650"	"n/a"	"1"	"Bond"	""	"0.000"	"4.65"	"4.650000"
"AAT GIC 4.75% 11JL13A"	""	"R08847"	"Certificates of Deposit"	"2203010"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"07/11/2013"	""	"4.750"	"n/a"	"1"	"Bond"	""	"0.000"	"4.75"	"4.750000"
"AAT R/G GIC S23/LL/N"	"AAT123"	"926569"	"Bond Funds"	"3807245"	"100.000"	"100.000"	"100.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Mutual Fund"	""	"0.000"	"n/a"	""
"AB ELECTROLUX SPONS ADR"	"ELUXY"	"007377"	"Common Stock"	"3308000"	"0.000"	"0.000"	"48.180"	"USD"	"n/a"	"ZZ"	"No"	""	"NAS"	"0.000"	"n/a"	"2"	"Equity"	"04/02/2008"	"1.426"	"5.92"	""
"ABACAN RESOURCE CORP"	"ABACQ"	"000543"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"USD"	"n/a"	"CA"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ABACUS SOFTWARE GROUP INC"	""	"000565"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ABB LTD ADR"	"ABB"	"000676"	"Common Stock"	"3158000"	"18.480"	"18.490"	"18.470"	"USD"	"n/a"	"ZZ"	"No"	""	"NYS"	"0.000"	"n/a"	"1"	"Equity"	"07/22/2009"	"0.445"	"2.41"	""
"ABBOTT LABORATORIES"	"ABT"	"001388"	"Common Stock"	"315"	"54.710"	"54.740"	"54.700"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"01/13/2010"	"0.400"	"2.93"	""
"ABER DIAMOND CORP *"	"ABZ"	"001708"	"Common Stock"	"315"	"0.000"	"37.313"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"09/26/2007"	"0.250"	"0.00"	""
"ABERCROMBIE & FITCH CO-A-"	"ANF"	"001541"	"Common Stock"	"315"	"30.410"	"30.430"	"30.450"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"11/24/2009"	"0.175"	"2.30"	""
"ABERDEEN ASIA-PAC INC FND"	"FAX"	"001742"	"Common Stock"	"3308015"	"6.440"	"6.460"	"6.450"	"USD"	"n/a"	"US"	"No"	""	"ASE"	"0.000"	"n/a"	"12"	"Equity"	"01/27/2010"	"0.035"	"6.51"	""
"ABERDEEN ASIA-PACIFIC INC"	"FAP"	"001761"	"Closed-end Funds: Bonds"	"330"	"6.420"	"6.440"	"6.420"	"CAD"	"n/a"	"ZZ"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Mutual Fund"	"07/29/2009"	"0.050"	"0.00"	""
"ABERDEEN G7 T/U"	"GSV.UN"	"001812"	"Trust Units"	"3308001"	"6.500"	"6.890"	"6.500"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"12/11/2008"	"0.060"	"0.00"	""
"ABERDEEN SCOTS TRUST T/U*"	"SCO.UN"	"001555"	"Trust Units"	"3308001"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"05/13/2009"	"0.020"	"n/a"	""
"ABITIBI-CONSOLIDATED INC*"	"A"	"003000"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"05/04/2006"	"0.025"	"n/a"	""
"ABITIBI-PRICE INC *"	""	"002998"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ABITIBIBOWATER CDA-EXCH"	"AXB"	"082163"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ABITIBIBOWATER INC"	"ABH"	"002826"	"Common Stock"	"330"	"0.000"	"0.000"	"0.120"	"USD"	"n/a"	"US"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ABL CANADA INC *"	""	"000515"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	"10/19/2000"	"0.000"	"n/a"	""
"ABN AMRO HLDG NV SP-ADR *"	"ABN"	"000287"	"Common Stock"	"3158000"	"0.000"	"0.000"	"50.250"	"USD"	"n/a"	"ZZ"	"No"	""	"NYS"	"0.000"	"n/a"	"2"	"Equity"	"07/26/2007"	"0.791"	"0.00"	""
"ACADIAN TIMBER CORP"	"ADN"	"004372"	"Common Stock"	"330"	"6.350"	"6.450"	"6.300"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"01/13/2010"	"0.017"	"3.18"	""
"ACADIAN TIMBER INCM T/*"	"ADN.UN"	"004364"	"Trust Units"	"3308001"	"6.360"	"6.450"	"6.440"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"11/26/2009"	"0.017"	"3.11"	""
"ACASTI PHARMA INC CL-A"	""	"000682"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ACCELRATE POWER SYSTEMS *"	"APS"	"004401"	"Common Stock"	"330"	"0.015"	"0.020"	"0.015"	"CAD"	"n/a"	"CA"	"No"	""	"TSX"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ACCENTURE LTD-CL-A *"	"ACN"	"004391"	"Common Stock"	"315"	"33.080"	"33.100"	"33.000"	"USD"	"n/a"	"ZZ"	"No"	""	"NYS"	"0.000"	"n/a"	"1"	"Equity"	"10/08/2008"	"0.500"	"1.52"	""
"ACCENTURE PLC CL-A"	"ACN"	"004396"	"Common Stock"	"315"	"41.900"	"41.930"	"41.880"	"USD"	"n/a"	"ZZ"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	"10/14/2009"	"0.750"	"n/a"	""
"ACCESS ANYTIME BANCORP *"	"AABC"	"004352"	"Common Stock"	"330"	"18.450"	"19.900"	"18.950"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"0"	"Equity"	"12/09/2005"	"0.350"	"n/a"	""
"ACCLAIM ENERGY TR T/U-NE*"	"AE.UN"	"004439"	"Trust Units"	"3308001"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"12"	"Equity"	"12/28/2005"	"0.163"	"n/a"	""
"ACCLAIM ENERGY TR-T/U *"	""	"004427"	"Trust Units"	"3308001"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"12"	"Equity"	""	"0.065"	"n/a"	""
"ACCO BRANDS CORP"	"ABD"	"004537"	"Common Stock"	"315"	"8.140"	"8.160"	"8.160"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ACCORD FINANCIAL CORP"	"ACD"	"004421"	"Common Stock"	"330"	"5.500"	"5.690"	"5.500"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"4"	"Equity"	"11/10/2009"	"0.065"	"4.73"	""
"ACCOUNT BALANCE UNKNOWN C"	"1ZZZ"	""	"Cash"	""	"1.000"	"1.000"	"1.000"	"ZZZ"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Cash"	""	"0.000"	"n/a"	""
"ACD SYSTEMS INTL INC"	"ASA"	"000288"	"Common Stock"	"330"	"0.560"	"0.570"	"0.560"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ACE AVIATION HLDGS-A RV"	"ACE.A"	"004516"	"Common Stock"	"315"	"6.150"	"6.300"	"6.150"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ACE AVIATION HLDGS-B VTG"	"ACE.B"	"004517"	"Common Stock"	"330"	"6.130"	"6.200"	"6.130"	"CAD"	"n/a"	"CA"	"No"	""	"TSE"	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ACE LTD-NEW"	"ACE"	"004462"	"Common Stock"	"315"	"48.410"	"48.430"	"48.440"	"USD"	"n/a"	"ZZ"	"No"	""	"NYS"	"0.000"	"n/a"	"4"	"Equity"	"12/15/2009"	"0.310"	"2.56"	""
"ACER CAPITAL CORP *"	""	"004882"	"Common Stock"	"330"	"0.000"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ACETO CORP"	"ACET"	"004440"	"Common Stock"	"330"	"5.440"	"5.450"	"5.450"	"USD"	"n/a"	"US"	"No"	""	"NAS"	"0.000"	"n/a"	"2"	"Equity"	"12/22/2009"	"0.100"	"3.67"	""
"ACFA 4.65% 15JN17"	""	"B83773"	"Provincial Bonds"	"2601305"	"107.552"	"107.552"	"107.552"	"CAD"	"n/a"	"CA"	"No"	"06/15/2017"	""	"4.650"	"n/a"	"2"	"Bond"	""	"0.000"	"4.32"	"3.481269"
"ACFA EX-11 SU 3.6% 15DC08"	""	"B83760"	"Step-up Bonds"	"2601305"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"12/15/2008"	""	"3.600"	"n/a"	"2"	"Bond"	""	"0.000"	"3.60"	"0.000000"
"ACFA EX-15 S/U 4.3% 6OC08"	""	"B83738"	"Step-up Bonds"	"2601305"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"10/06/2008"	""	"4.300"	"n/a"	"2"	"Bond"	""	"0.000"	"4.30"	"0.000000"
"ACFA EX-17 S/4.15% 15FB0*"	""	"B83759"	"Step-up Bonds"	"2601305"	"100.000"	"100.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	"02/15/2009"	""	"4.150"	"n/a"	"2"	"Bond"	""	"0.000"	"4.15"	"0.000000"
"ACIER LEROUX INC CL-A"	"ACRYF"	"004551"	"Common Stock"	"330"	"6.250"	"0.000"	"0.000"	"CAD"	"n/a"	"CA"	"No"	""	""	"0.000"	"n/a"	"0"	"Equity"	""	"0.000"	"n/a"	""
"ACM INCOME FUND *"	"ACG"	"000380"	"Common Stock"	"3308015"	"8.250"	"8.250"	"0.000"	"USD"	"n/a"	"US"	"No"	""	"NYS"	"0.000"	"n/a"	"12"	"Equity"	"01/10/2007"	"0.050"	"0.00"	""
